0,1,2
<s>,there,duck
there,duck,<\s>
<s>,get,down
get,down,<\s>
<s>,duck,<\s>
<s>,that,door
that,door,<\s>
<s>,duck,<\s>
<s>,door,<\s>
<s>,that,elephant
that,elephant,<\s>
<s>,elephant,<\s>
<s>,that,<\s>
<s>,that,<\s>
<s>,money,<\s>
<s>,money,<\s>
<s>,look,<\s>
<s>,look,<\s>
<s>,look,<\s>
<s>,there,<\s>
<s>,brumm,<\s>
<s>,bricks,<\s>
<s>,those,bricks
those,bricks,<\s>
<s>,bricks,<\s>
<s>,a,<\s>
<s>,bricks,<\s>
<s>,i,got
i,got,<\s>
<s>,got,red
got,red,<\s>
<s>,oh,<\s>
<s>,bricks,<\s>
<s>,there,<\s>
<s>,hole,<\s>
<s>,where,<\s>
<s>,duck,<\s>
<s>,bricks,<\s>
<s>,bricks,<\s>
<s>,hole,<\s>
<s>,duck,<\s>
<s>,top,<\s>
<s>,that,<\s>
<s>,there,<\s>
<s>,that,<\s>
<s>,there,<\s>
<s>,there,<\s>
<s>,there,<\s>
<s>,go,not
go,not,<\s>
<s>,there,<\s>
<s>,go,there
go,there,<\s>
<s>,bricks,there
bricks,there,<\s>
<s>,car,<\s>
<s>,push,<\s>
<s>,work,<\s>
<s>,there,<\s>
<s>,work,<\s>
<s>,work,<\s>
<s>,not,work
not,work,<\s>
<s>,door,<\s>
<s>,bricks,<\s>
<s>,car,<\s>
<s>,trucks,<\s>
<s>,shop,<\s>
<s>,racing,<\s>
<s>,brumm,<\s>
<s>,this,bridge
this,bridge,<\s>
<s>,truck,<\s>
<s>,oh,<\s>
<s>,there,<\s>
<s>,that,car
that,car,<\s>
<s>,car,<\s>
<s>,oh,<\s>
<s>,daddy,<\s>
<s>,oh,<\s>
<s>,a,<\s>
<s>,bus,<\s>
<s>,bird,<\s>
<s>,bird,<\s>
<s>,bird,<\s>
<s>,food,<\s>
<s>,fly,<\s>
<s>,foot,<\s>
<s>,foot,<\s>
<s>,it,big
it,big,<\s>
<s>,that,<\s>
<s>,penny,<\s>
<s>,dumpty,<\s>
<s>,oh,off
oh,off,<\s>
<s>,car,<\s>
<s>,what,<\s>
<s>,tractor,<\s>
<s>,bin,<\s>
<s>,bin,<\s>
<s>,sand,<\s>
<s>,grass,<\s>
<s>,brumm,<\s>
<s>,man,<\s>
<s>,sleep,<\s>
<s>,sleep,tractor
sleep,tractor,<\s>
<s>,park,<\s>
<s>,brumm,<\s>
<s>,driver,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,sss,<\s>
<s>,xxx,<\s>
<s>,sss,<\s>
<s>,green,<\s>
<s>,green,<\s>
<s>,get,<\s>
<s>,bricks,<\s>
<s>,green,<\s>
<s>,there,more
there,more,<\s>
<s>,green,<\s>
<s>,green,<\s>
<s>,there,<\s>
<s>,there,<\s>
<s>,stuck,<\s>
<s>,stuck,<\s>
<s>,stuck,<\s>
<s>,oh,there
oh,there,<\s>
<s>,there,<\s>
<s>,there,<\s>
<s>,there,<\s>
<s>,bricks,<\s>
<s>,bricks,<\s>
<s>,go,there
go,there,<\s>
<s>,what,<\s>
<s>,look,bricks
look,bricks,<\s>
<s>,bricks,<\s>
<s>,err,<\s>
<s>,look,<\s>
<s>,my,bricks
my,bricks,<\s>
<s>,it,my
it,my,<\s>
<s>,the,horse
the,horse,<\s>
<s>,a,horse
a,horse,<\s>
<s>,dong,<\s>
<s>,dong,<\s>
<s>,bricks,<\s>
<s>,oh,<\s>
<s>,that,<\s>
<s>,hi,<\s>
<s>,hi,<\s>
<s>,hi,<\s>
<s>,hi,<\s>
<s>,hi,<\s>
<s>,hi,<\s>
<s>,hi,<\s>
<s>,that,<\s>
<s>,that,wet
that,wet,<\s>
<s>,that,<\s>
<s>,oh,<\s>
<s>,bird,<\s>
<s>,bird,<\s>
<s>,man,<\s>
<s>,man,<\s>
<s>,cut,<\s>
<s>,knife,<\s>
<s>,the,man
the,man,<\s>
<s>,cut,<\s>
<s>,knife,<\s>
<s>,stick,<\s>
<s>,stick,<\s>
<s>,oh,<\s>
<s>,cheese,<\s>
<s>,ham,<\s>
<s>,oh,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,it,bang
it,bang,bang
bang,bang,<\s>
<s>,it,bang
it,bang,bang
bang,bang,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,bang,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,bricks,<\s>
<s>,bricks,<\s>
<s>,bricks,<\s>
<s>,there,<\s>
<s>,there,bang
there,bang,<\s>
<s>,there,bang
there,bang,bang
bang,bang,gone
bang,gone,car
gone,car,<\s>
<s>,bang,<\s>
<s>,green,<\s>
<s>,bang,mine
