0,1
open,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
saw,she
she,saw
fix,it
it,fix
fix,it
it,oh
fix,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
pour,it
it,pour
pour,it
it,pour
pour,it
it,pour
pour,it
it,<\s>
turn,it
it,<\s>
turn,it
it,over
there,it
it,is
there,it
it,is
there,it
it,is
do,it
it,do
do,it
it,do
do,it
it,do
do,it
it,<\s>
fix,it
it,yyy
<s>,you
you,<\s>
pull,it
it,pull
pull,it
it,<\s>
pull,it
it,<\s>
turn,it
it,xxx
have,it
it,<\s>
turn,it
it,turn
turn,it
it,turn
turn,it
it,<\s>
on,it
it,xxx
did,it
it,<\s>
did,it
it,did
did,it
it,<\s>
see,it
it,see
see,it
it,see
see,it
it,<\s>
see,it
it,<\s>
see,it
it,see
see,it
it,open
see,it
it,<\s>
see,it
it,open
see,it
it,open
see,it
it,<\s>
close,it
it,<\s>
pull,it
it,<\s>
fix,it
it,fix
fix,it
it,fix
fix,it
it,<\s>
on,it
it,xxx
on,it
it,xxx
throw,it
it,<\s>
kick,it
it,<\s>
get,it
it,<\s>
close,it
it,<\s>
turn,it
it,<\s>
push,it
it,<\s>
see,it
it,<\s>
see,it
it,<\s>
see,it
it,<\s>
see,it
it,<\s>
p,i
i,xxx
<s>,him
him,<\s>
pull,it
it,xxx
pull,it
it,<\s>
pull,it
it,pull
pull,it
it,<\s>
pull,it
it,pull
pull,it
it,<\s>
open,it
it,open
see,it
it,fire
on,it
it,pont
see,it
it,see
see,it
it,<\s>
on,it
it,<\s>
yyy,it
it,xxx
<s>,it
it,<\s>
filling,it
it,<\s>
on,it
it,<\s>
do,it
it,<\s>
with,it
it,<\s>
see,it
it,<\s>
turn,it
it,<\s>
see,it
it,<\s>
<s>,i
i,do
do,it
it,<\s>
close,it
it,<\s>
oh,i
i,do
do,it
it,<\s>
see,it
it,<\s>
here,it
it,is
close,it
it,<\s>
close,it
it,<\s>
open,it
it,<\s>
close,it
it,<\s>
close,it
it,<\s>
see,it
it,<\s>
on,it
it,<\s>
on,it
it,<\s>
<s>,i
i,put
put,them
them,back
find,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
screw,it
it,<\s>
screw,it
it,screw
screw,it
it,car
screw,it
it,open
screw,it
it,uh
screw,it
it,oh
screw,it
it,<\s>
close,it
it,<\s>
<s>,i
i,yyy
fix,it
it,<\s>
fix,it
it,<\s>
put,it
it,put
put,it
it,together
help,you
you,help
help,you
you,<\s>
close,it
it,close
close,it
it,<\s>
close,it
it,telephone
push,it
it,em
push,it
it,<\s>
do,it
it,<\s>
screw,it
it,<\s>
screw,it
it,<\s>
found,it
it,<\s>
found,it
it,<\s>
screw,it
it,<\s>
screw,it
it,<\s>
turn,it
it,xxx
screw,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
close,it
it,<\s>
screw,it
it,take
need,it
it,screw
close,it
it,<\s>
help,you
you,<\s>
<s>,i
i,put
fix,it
it,fix
fix,it
it,<\s>
fix,it
it,<\s>
get,it
it,<\s>
close,it
it,new
turn,it
it,light
show,it
it,car
show,it
it,ssh
show,it
it,<\s>
show,it
it,<\s>
see,it
it,<\s>
<s>,i
i,can't
see,it
it,<\s>
xxx,i
i,can't
see,it
it,<\s>
fix,it
it,fix
turn,it
it,over
see,it
it,<\s>
xxx,it
it,xxx
do,it
it,yyy
eat,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
big,it
it,<\s>
tear,it
it,<\s>
tear,it
it,<\s>
behind,you
you,xxx
fix,it
it,<\s>
do,it
it,<\s>
do,it
it,xxx
do,it
it,dump
do,it
it,<\s>
close,it
it,dump
do,it
it,<\s>
<s>,i
i,do
do,it
it,<\s>
do,it
it,<\s>
<s>,them
them,<\s>
have,them
them,<\s>
fix,it
it,fix
fix,it
it,<\s>
help,you
you,help
do,it
it,<\s>
open,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
<s>,he
he,upside
