0,1
<s>,rabbit
rabbit,<\s>
<s>,yeah
yeah,<\s>
<s>,one
one,rabbit
rabbit,<\s>
<s>,hop
hop,<\s>
<s>,cars
cars,<\s>
<s>,peel
peel,<\s>
<s>,banana
banana,<\s>
<s>,hop
hop,<\s>
<s>,hopping
hopping,<\s>
<s>,what's
what's,that
that,<\s>
<s>,a
a,stick
stick,<\s>
<s>,oh
oh,that
that,<\s>
<s>,look
look,at
at,rabbit
rabbit,<\s>
<s>,what's
what's,that
that,<\s>
<s>,big
big,<\s>
<s>,big
big,crocodile
crocodile,<\s>
<s>,rabbit
rabbit,<\s>
<s>,little
little,rabbit
rabbit,<\s>
<s>,on
on,the
the,bicycle
bicycle,<\s>
<s>,yeah
yeah,<\s>
<s>,fall
fall,down
down,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,go
go,<\s>
<s>,teddy
teddy,bear
bear,<\s>
<s>,little
little,bear
bear,<\s>
<s>,big
big,bear
bear,<\s>
<s>,rabbit
rabbit,<\s>
<s>,going
going,on
on,the
the,bicycle
bicycle,<\s>
<s>,oh
oh,kitty
kitty,cat
cat,<\s>
<s>,warm
warm,<\s>
<s>,warm
warm,kitty
kitty,<\s>
<s>,eyes
eyes,<\s>
<s>,eyes
eyes,<\s>
<s>,nina
nina,eyes
eyes,<\s>
<s>,mommy
mommy,eyes
eyes,<\s>
<s>,eyes
eyes,<\s>
<s>,nose
nose,<\s>
<s>,xxx
xxx,<\s>
<s>,fish
fish,<\s>
<s>,fish
fish,<\s>
<s>,fish
fish,<\s>
<s>,fish
fish,<\s>
<s>,here
here,<\s>
<s>,black
black,<\s>
<s>,rabbit
rabbit,<\s>
<s>,rabbit
rabbit,in
in,a
a,boat
boat,<\s>
<s>,little
little,<\s>
<s>,little
little,kitty
kitty,cat
cat,<\s>
<s>,black
black,eyes
eyes,<\s>
<s>,white
white,<\s>
<s>,black
black,<\s>
<s>,little
little,feet
feet,<\s>
<s>,that's
that's,feet
feet,fish
fish,<\s>
<s>,that's
that's,feet
feet,fish
fish,<\s>
<s>,swim
swim,<\s>
<s>,hop
hop,<\s>
<s>,xxx
xxx,<\s>
<s>,mouse
mouse,<\s>
<s>,red
red,fish
fish,<\s>
<s>,red
red,<\s>
<s>,red
red,mouth
mouth,<\s>
<s>,oh
oh,horsie
horsie,<\s>
<s>,blap
blap,blap
blap,blap
blap,<\s>
<s>,giddy
giddy,giddy
giddy,up
up,<\s>
<s>,doggy
doggy,doggy
doggy,<\s>
<s>,where
where,the
the,doggy
doggy,<\s>
<s>,doggy
doggy,on
on,the
the,ball
ball,<\s>
<s>,giraffe
giraffe,<\s>
<s>,giraffe
giraffe,<\s>
<s>,giraffe
giraffe,<\s>
<s>,yeah
yeah,<\s>
<s>,rabbit
rabbit,<\s>
<s>,more
more,rabbit
rabbit,<\s>
<s>,up
up,on
on,the
the,xxx
xxx,<\s>
<s>,ears
ears,rabbit
rabbit,<\s>
<s>,this
this,rabbit
rabbit,<\s>
<s>,kitty
kitty,<\s>
<s>,kitty
kitty,cat
cat,<\s>
<s>,big
big,bird
bird,<\s>
<s>,fly
fly,<\s>
<s>,fly
fly,<\s>
<s>,eyes
eyes,<\s>
<s>,eyes
eyes,<\s>
<s>,kitty
kitty,<\s>
<s>,big
big,kitty
kitty,cat
cat,<\s>
<s>,meow
meow,<\s>
<s>,meow
meow,meow
meow,<\s>
<s>,meow
meow,<\s>
<s>,pat
pat,it
it,<\s>
<s>,rabbit
rabbit,<\s>
<s>,more
more,<\s>
<s>,more
more,rabbits
rabbits,<\s>
<s>,xxx
xxx,<\s>
<s>,oh
oh,mousie
mousie,<\s>
<s>,mousie
mousie,<\s>
<s>,hop
hop,<\s>
<s>,xxx
xxx,<\s>
<s>,eating
eating,xxx
xxx,<\s>
<s>,a
a,bird
bird,<\s>
<s>,black
black,<\s>
<s>,red
red,ball
ball,<\s>
<s>,yeah
yeah,<\s>
<s>,climbing
climbing,leaf
leaf,<\s>
<s>,yeah
yeah,<\s>
<s>,little
little,bug
bug,<\s>
<s>,big
big,bug
bug,<\s>
<s>,big
big,mousie
mousie,<\s>
<s>,big
big,tiny
tiny,mousie
mousie,<\s>
<s>,tiny
tiny,tiny
tiny,big
big,kangaroo
kangaroo,<\s>
<s>,here
here,<\s>
<s>,rabbit
rabbit,<\s>
<s>,yeah
yeah,<\s>
<s>,hi
hi,baby
baby,kangaroo
kangaroo,<\s>
<s>,hi
hi,baby
baby,kangaroo
kangaroo,<\s>
<s>,little
little,rabbit
rabbit,<\s>
<s>,little
little,rabbit
rabbit,<\s>
<s>,here
here,<\s>
<s>,big
big,kangaroo
kangaroo,<\s>
<s>,hop
hop,<\s>
<s>,that
that,rabbit
rabbit,hops
hops,<\s>
<s>,biting
biting,<\s>
<s>,biting
biting,<\s>
<s>,yeah
yeah,<\s>
<s>,more
more,<\s>
<s>,no
no,more
more,<\s>
<s>,no
no,more
more,<\s>
<s>,more
more,rabbits
rabbits,<\s>
<s>,hop
hop,<\s>
<s>,oh
oh,oh
oh,teddy
teddy,bear
bear,<\s>
<s>,panda
panda,<\s>
<s>,yeah
yeah,<\s>
<s>,here
here,<\s>
<s>,big
big,feet
feet,<\s>
<s>,eyes
eyes,<\s>
<s>,eyes
eyes,<\s>
<s>,eyes
eyes,<\s>
<s>,big
big,bird
bird,<\s>
<s>,tiny
tiny,bird
bird,<\s>
<s>,tiny
tiny,rabbit
rabbit,<\s>
<s>,guitar
guitar,<\s>
<s>,xxx
xxx,<\s>
<s>,tiny
tiny,guitar
guitar,<\s>
<s>,guitar
guitar,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,up
up,down
down,<\s>
<s>,up
up,down
down,<\s>
<s>,feet
feet,feet
feet,<\s>
<s>,red
red,feet
feet,<\s>
<s>,red
red,feet
feet,<\s>
<s>,leg
leg,<\s>
<s>,leg
leg,leg
leg,bird
bird,<\s>
<s>,leg
leg,bird
bird,<\s>
<s>,fly
fly,<\s>
<s>,yeah
yeah,<\s>
<s>,on
on,leaf
leaf,<\s>
<s>,more
more,<\s>
<s>,more
more,<\s>
<s>,hop
hop,<\s>
<s>,yeah
yeah,yeah
yeah,hop
hop,<\s>
<s>,hop
hop,<\s>
<s>,this
this,lie
lie,down
down,<\s>
<s>,this
this,lie
lie,down
down,<\s>
<s>,this
this,hops
hops,<\s>
<s>,this
this,hops
hops,<\s>
<s>,rabbit
rabbit,hops
hops,down
down,<\s>
<s>,this
this,hops
hops,down
down,<\s>
<s>,here
here,<\s>
<s>,rabbit
