0,1
<s>,hm
hm,<\s>
<s>,kaka
kaka,car_car
car_car,<\s>
<s>,xxx
xxx,<\s>
<s>,truck
truck,<\s>
<s>,yyy
yyy,<\s>
<s>,xxx
xxx,aka
aka,<\s>
<s>,aka
aka,<\s>
<s>,xxx
xxx,aka
aka,xxx
xxx,<\s>
<s>,xxx
xxx,aka
aka,xxx
xxx,turn
turn,<\s>
<s>,turn
turn,<\s>
<s>,hm
hm,<\s>
<s>,xxx
xxx,<\s>
<s>,turtle
turtle,<\s>
<s>,turtle
turtle,<\s>
<s>,xxx
xxx,<\s>
<s>,hello
hello,tv
tv,<\s>
<s>,uh
uh,<\s>
<s>,hello
hello,<\s>
<s>,tape
tape,recorder
recorder,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,hm
hm,hm
hm,<\s>
<s>,xxx
xxx,<\s>
<s>,hm
hm,<\s>
<s>,boom
boom,<\s>
<s>,hm
hm,<\s>
<s>,xxx
xxx,yyy
yyy,yyy
yyy,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,xxx
xxx,<\s>
<s>,hm
hm,<\s>
<s>,yyy
yyy,<\s>
<s>,lamb
lamb,xxx
xxx,<\s>
<s>,train
train,<\s>
<s>,choo_choo
choo_choo,train
train,train
train,xxx
xxx,train
train,xxx
xxx,train
train,xxx
xxx,<\s>
<s>,yyy
yyy,<\s>
<s>,zoom
zoom,<\s>
<s>,zoom
zoom,xxx
xxx,kaka
kaka,car_car
car_car,beep
beep,beep
beep,beep
beep,mama
mama,<\s>
<s>,mama
mama,beep
beep,beep
beep,beep
beep,<\s>
<s>,xxx
xxx,xxx
xxx,brrmm
brrmm,beep
beep,brrmm
brrmm,<\s>
<s>,hm
hm,<\s>
<s>,hm
hm,<\s>
<s>,xxx
xxx,<\s>
<s>,seesaw
seesaw,xxx
xxx,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,bus
bus,<\s>
<s>,car
car,<\s>
<s>,train
train,<\s>
<s>,aka
aka,aka
aka,<\s>
<s>,seesaw
seesaw,see
see,seesaw
seesaw,seesaw
seesaw,<\s>
<s>,chair
chair,<\s>
<s>,tv
tv,<\s>
<s>,tv
tv,tv
tv,tv
tv,xxx
xxx,<\s>
<s>,xxx
xxx,xxx
xxx,<\s>
<s>,tape
tape,recorder
recorder,<\s>
<s>,xxx
xxx,open
open,open
open,open
open,<\s>
<s>,open
open,it
it,<\s>
<s>,tape
tape,recorder
recorder,<\s>
<s>,hm
hm,hm
hm,<\s>
<s>,suitcase
suitcase,suitcase
suitcase,suitcase
suitcase,<\s>
<s>,xxx
xxx,<\s>
<s>,toys
toys,<\s>
<s>,seesaw
seesaw,<\s>
<s>,seesaw
seesaw,<\s>
<s>,seesaw
seesaw,<\s>
<s>,xxx
xxx,<\s>
<s>,hm
hm,<\s>
<s>,seesaw
seesaw,seesaw
seesaw,xxx
xxx,<\s>
<s>,hm
hm,<\s>
<s>,xxx
xxx,<\s>
<s>,go
go,<\s>
<s>,hm
hm,hm
hm,<\s>
<s>,xxx
xxx,<\s>
<s>,open
open,close
close,xxx
xxx,close
close,close
close,close
close,<\s>
<s>,close
close,<\s>
<s>,hm
hm,<\s>
<s>,close
close,<\s>
<s>,hm
hm,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,suitcase
suitcase,<\s>
<s>,huh
huh,<\s>
<s>,toys
toys,<\s>
<s>,huh
huh,<\s>
<s>,empty
empty,<\s>
<s>,woo
woo,woo
woo,<\s>
<s>,bridge
bridge,<\s>
<s>,bridge
bridge,truck
truck,xxx
xxx,<\s>
<s>,zoom
zoom,zoom
zoom,zoom
zoom,woo
woo,woo
woo,brrmm
brrmm,xxx
xxx,brrmm
brrmm,<\s>
<s>,more
more,<\s>
<s>,more
more,<\s>
<s>,trains
trains,<\s>
<s>,hm
hm,<\s>
<s>,hm
hm,<\s>
<s>,hm
hm,<\s>
<s>,heavy
heavy,<\s>
<s>,crash
crash,<\s>
<s>,zoom
zoom,zoom
zoom,woo
woo,woo
woo,zoom
zoom,zoom
zoom,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,hm
hm,<\s>
<s>,seesaw
seesaw,<\s>
<s>,seesaw
seesaw,<\s>
<s>,xxx
xxx,xxx
xxx,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,blocks
blocks,blocks
blocks,<\s>
<s>,huh
huh,<\s>
<s>,blocks
blocks,blocks
blocks,<\s>
<s>,house
house,<\s>
<s>,xxx
xxx,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,house
house,house
house,<\s>
<s>,hm
hm,<\s>
<s>,house
house,<\s>
<s>,uh
uh,<\s>
<s>,house
house,house
house,<\s>
<s>,xxx
xxx,<\s>
<s>,chimney
chimney,<\s>
<s>,more
more,<\s>
<s>,house
house,<\s>
<s>,xxx
xxx,<\s>
<s>,house
house,<\s>
<s>,tumble
tumble,<\s>
<s>,xxx
xxx,<\s>
<s>,broke
broke,broke
broke,<\s>
<s>,fix
fix,<\s>
<s>,huh
huh,<\s>
<s>,huh
huh,<\s>
<s>,hm
hm,bracelet
bracelet,bracelet
bracelet,<\s>
<s>,bracelet
bracelet,bracelet
bracelet,bracelet
bracelet,bracelet
bracelet,<\s>
<s>,fix
fix,it
it,<\s>
<s>,xxx
xxx,<\s>
<s>,pliers
pliers,<\s>
<s>,oops
oops,<\s>
<s>,huh
huh,<\s>
<s>,huh
huh,<\s>
<s>,open
open,train
train,<\s>
<s>,yyy
yyy,train
train,<\s>
<s>,ah
ah,<\s>
<s>,hm
hm,<\s>
<s>,broke
broke,broke
broke,fix
fix,<\s>
<s>,broken
broken,<\s>
<s>,fix
fix,it
it,<\s>
<s>,huh
huh,train
train,<\s>
<s>,xxx
xxx,xxx
xxx,<\s>
<s>,yyy
yyy,saw
saw,<\s>
<s>,xxx
xxx,<\s>
<s>,aka
aka,<\s>
<s>,zoom
zoom,zoom
zoom,brrmm
brrmm,<\s>
<s>,house
house,<\s>
<s>,xxx
xxx,house
house,house
house,<\s>
<s>,house
house,<\s>
<s>,xxx
xxx,<\s>
<s>,house
house,<\s>
<s>,xxx
xxx,tall
tall,house
house,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,heavy
heavy,<\s>
<s>,xxx
xxx,<\s>
<s>,blocks
blocks,<\s>
<s>,house
house,<\s>
<s>,xxx
xxx,<\s>
<s>,up
up,up
up,<\s>
<s>,tape
tape,recorder
recorder,<\s>
<s>,tape
tape,recorder
recorder,<\s>
<s>,turn
turn,<\s>
<s>,pretty
pretty,<\s>
<s>,pliers
pliers,<\s>
<s>,xxx
xxx,<\s>
<s>,button
button,<\s>
<s>,button
button,<\s>
<s>,hm
hm,<\s>
<s>,xxx
xxx,<\s>
<s>,buttons
buttons,<\s>
<s>,hm
hm,<\s>
<s>,mm
mm,xxx
xxx,<\s>
<s>,shoes
shoes,<\s>
<s>,huh
huh,<\s>
<s>,hm
hm,<\s>
<s>,hm
hm,<\s>
<s>,xxx
xxx,<\s>
<s>,pliers
pliers,pliers
pliers,<\s>
<s>,hm
hm,<\s>
<s>,hm
hm,<\s>
<s>,ch_ch_ch
ch_ch_ch,<\s>
<s>,xxx
xxx,<\s>
<s>,broken
broken,<\s>
<s>,mama
mama,<\s>
<s>,kitchen
kitchen,<\s>
<s>,hm
hm,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,hm
hm,xxx
xxx,<\s>
<s>,hm
hm,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,xxx
xxx,xxx
xxx,<\s>
<s>,wheel
wheel,<\s>
<s>,hm
hm,wheel
wheel,turn
turn,touch
touch,<\s>
<s>,huh
huh,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,touch
touch,<\s>
<s>,pliers
pliers,<\s>
<s>,pliers
pliers,pliers
pliers,<\s>
<s>,can
can,opener
opener,<\s>
<s>,xxx
xxx,<\s>
<s>,hm
hm,<\s>
<s>,hm
hm,<\s>
<s>,hm
hm,<\s>
<s>,broke
broke,<\s>
<s>,broke
broke,<\s>
<s>,xxx
xxx,yyy
yyy,<\s>
<s>,hm
hm,<\s>
<s>,book
book,book
book,<\s>
<s>,mm
mm,<\s>
<s>,book
book,<\s>
<s>,mm
mm,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,book
book,<\s>
<s>,paper
paper,<\s>
<s>,huh
huh,book
book,<\s>
<s>,xxx
xxx,<\s>
<s>,book
