0,1
<s>,i
i,got
<s>,it
it,big
<s>,it
it,my
<s>,it
it,bang
<s>,it
it,bang
<s>,it
it,it
it,train
<s>,i
i,want
bite,it
it,<\s>
<s>,i
i,bite
bite,it
it,<\s>
<s>,it
it,hole
<s>,it
it,stuck
<s>,i
i,got
<s>,it
it,gone
<s>,it
it,gone
<s>,i
i,got
<s>,i
i,want
<s>,it
it,red
climb,it
it,<\s>
<s>,i
i,kick
<s>,me
me,going
here,you
you,are
<s>,i
i,want
<s>,i
i,need
have,you
you,polished
polished,it
it,all
<s>,it
it,grass
<s>,it
it,the
<s>,it
it,the
<s>,it
it,the
<s>,it
it,grass
<s>,it
it,grass
<s>,i
i,pull
<s>,it
it,rocks
oh,me
me,<\s>
is,it
it,<\s>
<s>,i
i,want
<s>,me
me,play
<s>,i
i,fall
<s>,i
i,need
need,it
it,<\s>
<s>,i
i,need
<s>,i
i,won't
<s>,it
it,a
no,me
me,<\s>
<s>,i
i,want
bought,me
me,<\s>
bought,them
them,<\s>
<s>,i
i,ride
<s>,i
i,want
<s>,it
it,bang
<s>,it
it,toy
<s>,i
i,get
<s>,it
it,a
<s>,it
it,queen
<s>,it
it,crying
<s>,it
it,tip
<s>,i
i,want
<s>,i
i,throw
<s>,i
i,want
<s>,i
i,get
<s>,i
i,want
train,it
it,was
<s>,it
it,turn
<s>,it
it,bang
<s>,it
it,bang
<s>,it
it,a
<s>,i
i,got
<s>,me
me,<\s>
<s>,me
me,<\s>
that,me
me,<\s>
<s>,it
it,break
<s>,it
it,break
<s>,it
it,a
<s>,it
it,that
a,it
it,light
there,we
we,are
<s>,i
i,want
<s>,i
i,get
<s>,it
it,hot
<s>,it
it,hot
<s>,it
it,gone
here,you
you,are
<s>,it
it,gone
<s>,it
it,gone
<s>,i
i,not
<s>,it
it,gone
<s>,it
it,gone
<s>,it
it,on
<s>,it
it,on
<s>,it
it,it
it,stop
knick,it
it,knick
<s>,he
he,gone
<s>,i
i,kiss
<s>,it
it,shoe
<s>,it
it,shoe
<s>,i
i,want
<s>,i
i,walk
<s>,i
i,nearly
get,it
it,<\s>
<s>,i
i,got
<s>,it
it,got
<s>,i
i,wipe
wipe,it
it,<\s>
<s>,i
i,got
<s>,i
i,want
want,i
i,want
rub,it
it,<\s>
<s>,i
i,do
<s>,it
it,floor
<s>,it
it,a
<s>,it
it,green
<s>,i
i,want
<s>,it
it,gone
<s>,it
it,eat
<s>,it
it,xxx
<s>,me
me,<\s>
<s>,i
i,want
<s>,i
i,want
<s>,i
i,want
want,it
it,on
<s>,i
i,want
<s>,i
i,sit
<s>,i
i,sit
<s>,i
i,want
<s>,i
i,like
<s>,it
it,top
<s>,it
it,that
<s>,it
it,flash
<s>,it
it,man
<s>,it
it,big
<s>,it
it,one
<s>,it
it,stuck
<s>,it
it,<\s>
<s>,it
it,<\s>
<s>,i
i,got
<s>,it
it,broke
<s>,i
i,got
<s>,it
it,got
<s>,it
it,got
<s>,it
it,xxx
<s>,it
it,got
<s>,it
it,<\s>
<s>,it
it,wet
<s>,it
it,got
<s>,it
it,boy
<s>,it
it,a
<s>,they
they,late
<s>,it
it,daddy
<s>,it
it,put
<s>,i
i,got
<s>,i
i,got
<s>,it
it,gone
<s>,i
i,drive
<s>,i
i,drive
put,it
it,that
hold,it
it,<\s>
<s>,i
i,get
<s>,i
i,got
and,me
me,sit
there,me
me,<\s>
drive,it
it,<\s>
<s>,it
it,a
<s>,i
i,like
<s>,me
me,sit
<s>,it
it,broke
<s>,it
it,xxx
<s>,he
he,sit
<s>,me
me,sit
<s>,it
it,broken
<s>,it
it,broken
<s>,it
it,broken
<s>,you
you,put
<s>,i
i,got
<s>,it
it,not
<s>,i
i,going
want,it
it,<\s>
want,it
it,<\s>
want,it
it,<\s>
want,it
it,<\s>
want,it
it,<\s>
<s>,i
i,get
<s>,i
i,get
<s>,i
i,shot
<s>,i
i,shot
<s>,i
i,shoot
<s>,i
i,shot
<s>,i
i,shot
<s>,i
i,shoot
<s>,i
i,shoot
<s>,i
i,shoot
<s>,i
i,shot
<s>,i
i,shoot
<s>,i
i,shot
<s>,it
it,not
<s>,it
it,cow
<s>,me
me,<\s>
<s>,me
me,<\s>
that,me
me,<\s>
that,me
me,<\s>
that,me
me,<\s>
<s>,it
it,neenaw
<s>,i
i,drive
<s>,i
i,go
<s>,i
i,go
<s>,it
it,truck
<s>,i
i,see
<s>,i
i,see
<s>,i
i,see
<s>,i
i,drive
drive,i
i,could
<s>,i
i,could
<s>,i
i,drive
<s>,i
i,drive
<s>,i
i,dump
<s>,me
me,<\s>
fix,it
it,<\s>
<s>,i
i,wet
<s>,i
i,jump
<s>,i
i,jump
<s>,i
i,jump
<s>,it
it,sore
<s>,i
i,told
<s>,i
i,told
<s>,i
i,go
<s>,it
it,hard
<s>,i
i,can
that,me
me,<\s>
has,he
he,<\s>
<s>,it
it,out
<s>,it
it,outside
<s>,it
it,xxx
<s>,it
it,gone
<s>,i
i,ride
eat,me
me,<\s>
<s>,i
i,fly
<s>,i
i,xxx
<s>,i
i,go
<s>,i
i,go
<s>,i
i,get
are,you
you,going
<s>,i
i,do
<s>,i
i,can't
get,me
me,<\s>
<s>,i
i,take
take,it
it,take
take,it
it,it
it,out
<s>,it
it,eat
<s>,it
it,broke
<s>,i
i,go
<s>,i
i,go
<s>,i
i,go
<s>,i
i,go
<s>,i
i,go
<s>,i
i,go
<s>,i
i,go
<s>,i
i,bang
<s>,i
i,go
<s>,i
i,go
<s>,i
i,go
<s>,i
i,sit
<s>,i
i,go
<s>,i
i,go
<s>,me
me,<\s>
<s>,i
i,get
<s>,i
i,throw
<s>,i
i,throw
<s>,i
i,go
<s>,i
i,go
<s>,i
i,got
<s>,i
i,want
<s>,i
i,want
<s>,i
i,not
<s>,it
it,doll
<s>,i
i,have
<s>,i
i,bring
<s>,i
i,bring
<s>,i
i,take
<s>,them
them,in
<s>,i
i,find
<s>,i
i,find
<s>,i
i,see
<s>,i
i,want
<s>,i
i,want
<s>,i
i,want
<s>,i
i,sleep
<s>,i
i,want
<s>,i
i,find
<s>,me
me,<\s>
<s>,i
i,drive
<s>,i
i,drive
fit,me
me,<\s>
<s>,it
it,hot
<s>,i
i,drive
<s>,i
i,drive
<s>,i
i,go
<s>,i
i,xxx
<s>,i
i,have
<s>,i
i,have
<s>,i
i,go
<s>,i
i,want
want,them
them,<\s>
<s>,it
it,got
lady,i
i,go
<s>,i
i,took
<s>,i
i,took
<s>,i
i,took
<s>,it
it,daddy
<s>,i
i,knock
knock,it
it,down
<s>,i
i,no
<s>,i
i,took
<s>,i
i,took
<s>,i
i,go
<s>,i
i,want
<s>,i
i,want
<s>,i
i,dress
<s>,i
i,get
<s>,i
i,get
<s>,i
i,have
<s>,i
i,go
<s>,i
i,go
<s>,me
me,<\s>
<s>,i
i,have
<s>,i
i,drop
<s>,i
i,drop
<s>,i
i,drop
<s>,i
i,drop
<s>,i
i,went
went,i
i,went
<s>,i
i,find
<s>,it
it,dump
<s>,it
it,dump
<s>,i
i,broke
<s>,i
i,show
that,me
me,<\s>
that,me
me,<\s>
<s>,i
i,go
<s>,it
it,dark
<s>,it
it,soldier
<s>,it
it,fish
<s>,it
it,eat
<s>,it
it,dog
<s>,he
he,eat
<s>,it
it,<\s>
<s>,it
it,pipe
<s>,i
i,go
<s>,i
i,can
can,i
i,can
<s>,i
i,miss
miss,i
i,miss
<s>,i
i,miss
<s>,i
i,trip
<s>,i
i,sit
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,am
<s>,i
i,move
<s>,i
i,am
<s>,i
i,stuck
<s>,it
it,a
<s>,i
i,put
<s>,i
i,put
<s>,it
it,gone
<s>,me
me,<\s>
that,me
me,<\s>
<s>,i
i,throw
<s>,i
i,catch
<s>,i
i,have
<s>,it
it,that
<s>,it
it,pipe
<s>,i
i,want
<s>,i
i,want
<s>,i
i,look
<s>,i
i,want
<s>,i
i,want
<s>,i
i,want
<s>,i
i,want
<s>,it
it,bike
<s>,it
it,bike
<s>,i
i,do
<s>,i
i,want
<s>,i
i,want
<s>,i
i,i
i,drive
<s>,i
i,drive
is,it
it,<\s>
<s>,me
me,<\s>
<s>,it
it,hot
<s>,i
i,need
<s>,i
i,need
<s>,it
it,the
<s>,it
it,drop
<s>,i
i,got
<s>,i
i,got
where,i
i,put
<s>,i
i,sit
<s>,i
i,put
<s>,i
i,get
<s>,i
i,get
<s>,i
i,get
<s>,it
it,a
<s>,it
it,gumdrop
<s>,i
i,get
<s>,i
i,oh
oh,i
i,go
<s>,i
i,got
got,it
it,<\s>
<s>,i
i,take
<s>,i
i,better
<s>,i
i,do
<s>,i
i,wear
<s>,i
i,wear
<s>,i
i,wear
<s>,i
i,get
<s>,i
i,have
<s>,i
i,want
<s>,i
i,want
<s>,i
i,drive
<s>,me
me,<\s>
<s>,it
it,go
<s>,i
i,have
<s>,i
i,want
<s>,i
i,want
<s>,it
it,goes
<s>,it
it,<\s>
<s>,i
i,want
<s>,it
it,one
<s>,it
it,fit
<s>,it
it,fit
<s>,it
it,fit
got,me
me,now
<s>,it
it,in
<s>,it
it,in
<s>,i
i,don't
<s>,it
it,beepbeep
stuck,it
it,in
<s>,me
me,beepbeep
<s>,it
it,a
beep,me
me,in
<s>,me
me,gumdrop
<s>,i
i,want
<s>,i
i,mummy
<s>,i
i,want
throw,it
it,lady
ball,me
me,<\s>
<s>,i
i,don't
<s>,i
i,want
<s>,i
i,go
<s>,i
i,go
<s>,i
i,got
<s>,i
i,went
<s>,it
it,a
<s>,i
i,can't
<s>,it
it,there
<s>,i
i,<\s>
<s>,i
i,run
<s>,i
i,run
<s>,i
i,get
<s>,i
i,got
<s>,i
i,got
got,i
i,got
<s>,i
i,want
<s>,i
i,take
<s>,it
it,there
<s>,i
i,want
<s>,i
i,want
<s>,i
i,want
<s>,i
i,want
<s>,i
i,have
got,i
i,have
<s>,i
i,<\s>
<s>,i
i,can't
<s>,i
i,want
<s>,me
me,in
<s>,i
i,<\s>
<s>,i
i,have
<s>,i
i,can't
<s>,i
i,can't
<s>,i
i,can't
<s>,i
i,have
<s>,i
i,have
<s>,i
i,got
<s>,i
i,have
<s>,i
i,throw
<s>,i
i,duck
<s>,i
i,got
<s>,i
i,want
<s>,i
i,want
<s>,i
i,have
<s>,i
i,have
<s>,i
i,can't
<s>,i
i,want
<s>,me
me,<\s>
<s>,i
i,want
<s>,i
i,am
<s>,i
i,am
<s>,i
i,am
<s>,i
i,am
<s>,i
i,am
<s>,i
i,am
<s>,i
i,am
<s>,i
i,want
<s>,i
i,am
<s>,i
i,have
<s>,i
i,get
<s>,i
i,make
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,can
do,it
it,<\s>
<s>,i
i,want
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,do
<s>,i
i,can't
<s>,i
i,sit
<s>,i
i,sit
<s>,i
i,want
<s>,i
i,drive
case,it
it,rains
<s>,i
i,can
<s>,i
i,can
<s>,i
i,can
<s>,i
i,do
<s>,i
i,do
that's,it
it,<\s>
<s>,i
i,can't
<s>,i
i,go
<s>,i
i,can't
<s>,i
i,can't
<s>,i
i,put
<s>,i
i,climb
<s>,i
i,get
<s>,i
i,get
<s>,i
i,do
<s>,i
i,share
<s>,it
it,my
<s>,i
i,get
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,can't
<s>,i
i,can't
<s>,i
i,i
i,<\s>
<s>,i
i,down
<s>,i
i,go
<s>,i
i,can't
no,i
i,can't
<s>,i
i,go
<s>,i
i,sleep
<s>,i
i,ride
<s>,i
i,miss
<s>,i
i,miss
throw,it
it,<\s>
<s>,i
i,miss
catch,it
it,<\s>
<s>,i
i,miss
<s>,i
i,miss
<s>,i
i,miss
<s>,i
i,miss
<s>,i
i,miss
<s>,it
it,go
<s>,it
it,go
<s>,i
i,throw
<s>,i
i,have
done,it
it,<\s>
<s>,i
i,miss
<s>,i
i,get
<s>,i
i,throw
<s>,i
i,throw
throw,it
it,at
<s>,i
i,throw
<s>,i
i,throw
throw,it
it,<\s>
<s>,i
i,miss
<s>,i
i,miss
<s>,i
i,have
<s>,i
i,get
<s>,i
i,put
<s>,i
i,get
<s>,i
i,have
<s>,i
i,have
<s>,i
i,get
put,i
i,put
<s>,i
i,put
do,it
it,<\s>
<s>,i
i,have
<s>,i
i,got
<s>,i
i,have
<s>,i
i,have
<s>,i
i,go
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,got
<s>,i
i,load
<s>,i
i,have
kiss,it
it,off
<s>,i
i,put
<s>,it
it,go
<s>,i
i,want
want,it
it,go
is,it
it,<\s>
<s>,i
i,don't
play,me
me,<\s>
<s>,she
she,she
she,go
<s>,i
i,pull
pull,i
i,pull
<s>,i
i,pull
<s>,i
i,can't
<s>,i
i,can't
<s>,i
i,can't
<s>,i
i,build
<s>,i
i,put
put,i
i,put
<s>,i
i,have
<s>,i
i,have
<s>,it
it,go
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
want,it
it,<\s>
<s>,i
i,don't
<s>,i
i,xxx
<s>,i
i,xxx
<s>,i
i,dump
<s>,i
i,play
<s>,i
i,go
<s>,i
i,want
<s>,i
i,hurt
<s>,i
i,hurt
<s>,i
i,have
<s>,i
i,got
<s>,i
i,have
<s>,i
i,have
<s>,i
i,shop
<s>,it
it,go
<s>,me
me,egg
<s>,i
i,got
<s>,i
i,police
<s>,i
i,got
<s>,i
i,get
<s>,i
i,put
<s>,i
i,get
<s>,i
i,have
<s>,i
i,go
<s>,i
i,go
<s>,i
i,pick
<s>,it
it,too
<s>,i
i,pick
<s>,i
i,want
<s>,it
it,over
<s>,i
i,can't
<s>,i
i,can't
<s>,i
i,want
want,i
i,want
<s>,i
i,put
are,you
you,putting
knock,it
it,over
knock,it
it,over
<s>,i
i,see
<s>,i
i,xxx
<s>,it
it,race
<s>,i
i,get
<s>,i
i,got
<s>,me
me,in
<s>,me
me,in
<s>,me
me,in
<s>,me
me,<\s>
<s>,i
i,get
<s>,it
it,that
<s>,i
i,bring
<s>,i
i,lost
<s>,i
i,get
<s>,i
i,get
<s>,i
i,think
pick,it
it,up
<s>,i
i,get
oh,i
i,not
<s>,i
i,go
<s>,it
it,get
<s>,i
i,get
<s>,i
i,get
<s>,i
i,go
<s>,i
i,have
<s>,it
it,got
<s>,it
it,go
<s>,i
i,drive
<s>,i
i,drive
<s>,i
i,find
find,it
it,<\s>
<s>,i
i,sit
get,it
it,off
<s>,i
i,go
<s>,it
it,a
put,i
i,put
<s>,it
it,cry
<s>,it
it,fall
<s>,i
i,play
<s>,i
i,can't
<s>,it
it,got
<s>,i
i,have
<s>,he
he,got
can,i
i,<\s>
<s>,i
i,got
<s>,it
it,go
<s>,it
it,go
eat,it
it,up
<s>,i
i,do
do,it
it,<\s>
<s>,i
i,drive
<s>,i
i,want
fall,it
it,down
<s>,me
me,down
throw,it
it,down
throw,it
it,down
<s>,i
i,want
<s>,i
i,get
<s>,i
i,put
<s>,i
i,put
<s>,i
i,put
<s>,i
i,get
<s>,i
i,fall
get,me
me,out
<s>,me
me,<\s>
<s>,it
it,a
a,it
it,a
<s>,i
i,go
<s>,i
i,go
<s>,i
i,go
<s>,i
i,want
want,i
i,want
<s>,it
it,wet
<s>,it
it,car
car,it
it,car
pull,it
it,over
pull,it
it,over
pull,it
it,over
<s>,i
i,am
<s>,i
i,go
<s>,i
i,get
drop,me
me,in
<s>,i
i,am
<s>,it
it,a
<s>,it
it,balloon
<s>,it
it,nicola
<s>,i
i,get
<s>,i
i,do
there,it
it,is
<s>,i
i,get
there,it
it,is
there,it
it,is
<s>,it
it,go
put,it
it,on
there,it
it,is
<s>,i
i,put
put,it
it,on
put,it
it,on
there,it
it,is
<s>,i
i,stick
stick,it
it,on
<s>,i
i,see
see,it
it,in
there,it
it,is
there,it
it,is
fit,it
it,fit
fit,it
it,on
fit,it
it,on
there,it
it,is
<s>,it
it,a
<s>,it
it,make
there,it
it,is
there,it
it,is
<s>,me
me,chop
oh,it
it,too
put,it
it,on
<s>,it
it,my
<s>,it
it,my
<s>,it
it,move
<s>,it
it,my
find,it
it,<\s>
<s>,it
it,goes
<s>,i
i,bang
bang,it
it,<\s>
<s>,i
i,bang
bang,it
it,<\s>
<s>,i
i,bang
bang,it
it,<\s>
<s>,i
i,bang
bang,it
it,<\s>
<s>,it
it,gone
got,me
me,<\s>
that,it
it,<\s>
<s>,he
he,drive
drive,he
he,drive
<s>,i
i,can't
<s>,i
i,can't
there,it
it,is
there,it
it,is
<s>,i
i,want
<s>,i
i,load
<s>,i
i,load
<s>,i
i,load
<s>,it
it,it
it,a
<s>,it
it,on
<s>,me
me,<\s>
<s>,i
i,pull
<s>,it
it,that
there,it
it,is
want,it
it,out
want,it
it,out
<s>,i
i,want
do,it
it,<\s>
do,it
it,<\s>
here,you
you,are
do,it
it,<\s>
<s>,i
i,can't
do,it
it,<\s>
do,it
it,<\s>
<s>,i
i,can't
do,it
it,<\s>
do,it
it,<\s>
<s>,i
i,put
put,it
it,in
<s>,it
it,go
do,it
it,<\s>
<s>,i
i,can't
do,it
it,<\s>
<s>,i
i,can't
<s>,i
i,want
put,it
it,in
put,it
it,in
<s>,i
i,want
<s>,i
i,want
<s>,it
it,is
<s>,he
he,go
there,it
it,is
put,it
it,on
put,it
it,there
<s>,i
i,have
<s>,i
i,have
fix,it
it,<\s>
<s>,i
i,want
<s>,i
i,bring
<s>,i
i,want
<s>,i
i,want
<s>,i
i,drop
that,it
it,<\s>
<s>,i
i,want
<s>,i
i,have
<s>,i
i,have
got,i
i,have
<s>,i
i,must
put,it
it,in
<s>,it
it,back
<s>,it
it,broken
<s>,i
i,get
stick,it
it,back
stick,it
it,back
<s>,i
i,must
<s>,i
i,must
<s>,i
i,just
put,it
it,on
put,it
it,on
<s>,i
i,done
done,i
i,done
done,it
it,<\s>
<s>,i
i,done
done,it
it,<\s>
<s>,i
i,just
<s>,i
i,have
stick,it
it,back
<s>,i
i,stick
stick,it
it,on
<s>,it
it,have
<s>,it
it,broken
<s>,it
it,have
put,it
it,on
get,it
it,back
put,it
it,in
bring,it
it,<\s>
put,it
it,in
have,you
you,<\s>
<s>,i
i,must
<s>,i
i,put
<s>,i
i,put
<s>,i
i,have
get,them
them,out
<s>,i
i,can't
get,it
it,out
sound,me
me,<\s>
<s>,i
i,put
<s>,i
i,get
<s>,i
i,get
<s>,i
i,can't
get,it
it,out
get,it
it,out
<s>,i
i,want
put,it
it,out
<s>,it
it,dead
<s>,it
it,dead
put,it
it,<\s>
<s>,it
it,dead
<s>,it
it,gumdrop
<s>,it
it,gumdrop
put,it
it,there
<s>,it
it,up
<s>,it
it,<\s>
<s>,it
it,broke
<s>,it
it,broke
find,it
it,<\s>
get,it
it,on
get,it
it,on
get,it
it,on
get,it
it,on
put,it
it,on
put,it
it,on
put,it
it,on
lift,it
it,<\s>
lift,it
it,<\s>
put,it
it,on
put,it
it,in
put,it
it,in
put,it
it,in
moved,it
it,<\s>
<s>,it
it,there
<s>,it
it,up
<s>,it
it,a
in,it
it,in
<s>,it
it,gone
<s>,it
it,there
<s>,it
it,there
<s>,it
it,dust
<s>,it
it,dust
<s>,i
i,want
