0,1
<s>,baby
baby,<\s>
<s>,xxx
xxx,it
it,<\s>
<s>,it
it,fit
fit,<\s>
<s>,xxx
xxx,<\s>
<s>,push
push,push
push,push
push,<\s>
<s>,anne
anne,<\s>
<s>,what's
what's,that
that,<\s>
<s>,what's
what's,that
that,<\s>
<s>,baby
baby,baby
baby,mummy
mummy,<\s>
<s>,car
car,<\s>
<s>,hair
hair,<\s>
<s>,xxx
xxx,<\s>
<s>,what's
what's,that
that,<\s>
<s>,train
train,<\s>
<s>,choo
choo,<\s>
<s>,big
big,<\s>
<s>,tip
tip,<\s>
<s>,tip
tip,xxx
xxx,<\s>
<s>,spider
spider,<\s>
<s>,spider
spider,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,what's
what's,that
that,<\s>
<s>,piggy
piggy,<\s>
<s>,what's
what's,that
that,<\s>
<s>,a
a,cake
cake,<\s>
<s>,what's
what's,that
that,<\s>
<s>,look
look,<\s>
<s>,teddy
teddy,<\s>
<s>,blue
blue,<\s>
<s>,teddy
teddy,<\s>
<s>,dolly
dolly,<\s>
<s>,mm
mm,<\s>
<s>,eat
eat,cake
cake,<\s>
<s>,teddy
teddy,<\s>
<s>,hello
hello,<\s>
<s>,there
there,it
it,goes
goes,<\s>
<s>,boat
boat,<\s>
<s>,what
what,<\s>
<s>,i
i,sweep
sweep,it
it,<\s>
<s>,a
a,mess
mess,<\s>
<s>,yeah
yeah,<\s>
<s>,i
i,find
find,it
it,<\s>
<s>,i
i,xxx
xxx,<\s>
<s>,big
big,<\s>
<s>,too
too,big
big,<\s>
<s>,table
table,<\s>
<s>,bath
bath,<\s>
<s>,xxx
xxx,<\s>
<s>,a
a,sheeps
sheeps,sheep
sheep,<\s>
<s>,baa
baa,<\s>
<s>,xxx
xxx,<\s>
<s>,in
in,there
there,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,spoon
spoon,<\s>
<s>,spade
spade,<\s>
<s>,xxx
xxx,<\s>
<s>,a
a,strawberrys
strawberrys,<\s>
<s>,strawberry
strawberry,<\s>
<s>,here
here,you
you,are
are,<\s>
<s>,yeah
yeah,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,eat
eat,it
it,<\s>
<s>,eat
eat,that
that,<\s>
<s>,tummy
tummy,<\s>
<s>,away
away,<\s>
<s>,mess
mess,<\s>
<s>,xxx
xxx,<\s>
<s>,oh
oh,<\s>
<s>,xxx
xxx,<\s>
<s>,in
in,mouth
mouth,<\s>
<s>,xxx
xxx,<\s>
<s>,teeth
teeth,<\s>
<s>,more
more,teeths
teeths,<\s>
<s>,a
a,look
look,it
it,<\s>
<s>,put
put,away
away,<\s>
<s>,more
more,<\s>
<s>,put
put,away
away,<\s>
<s>,away
away,<\s>
<s>,away
away,<\s>
<s>,what's
what's,this
this,<\s>
<s>,brush
brush,<\s>
<s>,i
i,dropped
dropped,it
it,<\s>
<s>,what
what,else
else,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,there
there,<\s>
<s>,oh
oh,<\s>
<s>,put
put,back
back,<\s>
<s>,yes
yes,<\s>
<s>,oh
oh,<\s>
<s>,xxx
xxx,toes
toes,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,oh
oh,look
look,<\s>
<s>,oh
oh,look
look,<\s>
<s>,oh
oh,it's
it's,there
there,<\s>
<s>,a
a,fish
fish,<\s>
<s>,fish
fish,<\s>
<s>,what
what,<\s>
<s>,stuck
stuck,<\s>
<s>,xxx
xxx,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,fighting
fighting,<\s>
<s>,come
come,here
here,xxx
xxx,<\s>
<s>,peepbo
peepbo,peekaboo
peekaboo,<\s>
<s>,a
a,cuddle
cuddle,<\s>
<s>,want
want,juice
juice,<\s>
<s>,gone
gone,<\s>
<s>,more
more,<\s>
<s>,no
no,<\s>
<s>,else
else,there
there,<\s>
<s>,yeah
yeah,<\s>
<s>,xxx
xxx,there
there,<\s>
<s>,no
no,<\s>
<s>,no
no,<\s>
<s>,want
want,juice
juice,<\s>
<s>,want
want,juice
juice,<\s>
<s>,yeah
yeah,<\s>
<s>,no
no,<\s>
<s>,no
no,<\s>
<s>,xxx
xxx,<\s>
<s>,no
no,<\s>
<s>,xxx
xxx,<\s>
<s>,a
a,biscuit
biscuit,<\s>
<s>,no
no,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,a
a,big
big,<\s>
<s>,bowl
bowl,<\s>
<s>,yeah
yeah,<\s>
<s>,<\s>
<s>,anne
anne,<\s>
<s>,can't
can't,reach
reach,<\s>
<s>,yes
yes,<\s>
<s>,no
no,<\s>
<s>,go
go,away
away,<\s>
<s>,where
where,gone
gone,<\s>
<s>,there
there,<\s>
<s>,no
no,<\s>
<s>,xxx
xxx,<\s>
<s>,no
no,more
more,<\s>
<s>,drop
drop,it
it,<\s>
<s>,mhm
mhm,<\s>
<s>,who
who,else
else,<\s>
<s>,ellie
ellie,<\s>
<s>,alistair
alistair,<\s>
<s>,and
and,davey
davey,<\s>
<s>,who
who,else
else,<\s>
<s>,john
john,<\s>
<s>,daddy
daddy,<\s>
<s>,yeah
yeah,<\s>
<s>,at
at,work
work,<\s>
<s>,balls
balls,<\s>
<s>,xxx
xxx,balls
balls,<\s>
<s>,yeah
yeah,<\s>
<s>,yeah
yeah,<\s>
<s>,house
house,<\s>
<s>,slide
slide,<\s>
<s>,mouth
mouth,<\s>
<s>,xxx
xxx,<\s>
<s>,can't
can't,reach
reach,<\s>
<s>,can't
can't,reach
reach,<\s>
<s>,xxx
xxx,<\s>
<s>,anne
anne,<\s>
<s>,yeah
yeah,<\s>
<s>,xxx
xxx,balls
balls,<\s>
<s>,xxx
xxx,<\s>
<s>,oh
oh,<\s>
<s>,gone
gone,<\s>
<s>,gone
gone,<\s>
<s>,gone
gone,<\s>
<s>,oh
oh,<\s>
<s>,a
a,biscuit
biscuit,<\s>
<s>,on
on,the
the,floor
floor,<\s>
<s>,bye
bye,<\s>
<s>,xxx
xxx,<\s>
<s>,gone
gone,<\s>
<s>,what's
what's,that
that,<\s>
<s>,there
there,<\s>
<s>,xxx
xxx,<\s>
<s>,what's
what's,that
that,<\s>
<s>,anne's
anne's,lid
lid,<\s>
<s>,gone
gone,<\s>
<s>,there
there,<\s>
<s>,gone
gone,<\s>
<s>,baby
baby,<\s>
<s>,xxx
xxx,<\s>
<s>,stuck
stuck,<\s>
<s>,no
no,<\s>
