0,1
<s>,you
you,v
v,more
more,cookies
cookies,<\s>
<s>,how_about
how_about,another
another,graham
graham,<\s>
<s>,would
would,that
that,do
do,just
just,as_well
as_well,<\s>
<s>,here
here,<\s>
<s>,here
here,you
you,go
go,<\s>
<s>,you
you,have
have,another
another,cookie
cookie,right
right,on
on,the
the,table
table,<\s>
<s>,more
more,juice
juice,<\s>
<s>,would
would,you
you,like
like,more
more,grape
grape,juice
juice,<\s>
<s>,where's
where's,your
your,cup
cup,<\s>
<s>,oh
oh,i
i,took
took,it
it,<\s>
<s>,i
i,think
think,that
that,was
was,fraser
fraser,<\s>
<s>,i'm
i'm,not
not,sure
sure,<\s>
<s>,what
what,<\s>
<s>,are
are,you
you,saying
saying,fraser
fraser,<\s>
<s>,mr
mr,fraser
fraser,<\s>
<s>,yes
yes,that's
that's,much
much,better
better,<\s>
<s>,mr
mr,fraser
fraser,<\s>
<s>,what
what,is
is,that
that,<\s>
<s>,huh
huh,<\s>
<s>,what
what,is
is,that
that,<\s>
<s>,yes
yes,a
a,fly
fly,<\s>
<s>,why
why,don't
don't,you
you,go
go,in
in,the
the,room
room,and
and,kill
kill,a
a,fly
fly,<\s>
<s>,you
you,go
go,in
in,the
the,room
room,and
and,kill
kill,a
a,fly
fly,<\s>
<s>,yes
yes,you
you,get
get,a
a,fly
fly,<\s>
<s>,you
you,get
get,one
one,<\s>
<s>,are
are,you
you,finished
finished,with
with,your
your,juice
juice,<\s>
<s>,well
well,go
go,and
and,get
get,your
your,telephone
telephone,<\s>
<s>,yes
yes,he
he,gave
gave,you
you,your
your,telephone
telephone,<\s>
<s>,who
who,are
are,you
you,calling
calling,eve
eve,<\s>
<s>,who
who,<\s>
<s>,eve
eve,why
why,don't
don't,you
you,call
call,grandma
grandma,<\s>
<s>,call
call,grandma
grandma,and
and,talk
talk,<\s>
<s>,oh
oh,you
you,don't
don't,wanna
wanna,talk
talk,to
to,grandma
grandma,<\s>
<s>,alright
alright,<\s>
<s>,alright
alright,<\s>
<s>,i
i,just
just,thought
thought,she
she,might
might,like
like,to
to,hear
hear,from
from,you
you,<\s>
<s>,uhhuh
uhhuh,<\s>
<s>,what's
what's,the
the,man
man,doing
doing,<\s>
<s>,you
you,wan
wan,a
a,cookie
cookie,<\s>
<s>,there's
there's,a
a,cookie
cookie,on
on,the
the,table
table,in
in,the
the,room
room,on
on,the
the,table
table,with
with,the
the,rest
rest,of
of,your
your,crackers
crackers,<\s>
<s>,there
there,<\s>
<s>,what's
what's,that
that,<\s>
<s>,oh
oh,it's
it's,a
a,baby
baby,<\s>
<s>,no
no,<\s>
<s>,mommy
mommy,can't
can't,read
read,<\s>
<s>,i'm
i'm,busy
busy,<\s>
<s>,you
you,read
read,the
the,book
book,<\s>
<s>,yes
yes,that's
that's,the
the,stool
stool,<\s>
<s>,you
you,want
want,to
to,sit
sit,on
on,the
the,stool
stool,and
and,read
read,the
the,book
book,<\s>
<s>,mr
mr,fraser
fraser,yes
yes,mr
mr,fraser
fraser,<\s>
<s>,your
