0,1
pat,it
it,<\s>
<s>,he
he,hops
read,it
it,<\s>
have,it
it,oh
have,it
it,place
<s>,he
he,fall
take,it
it,off
<s>,it
it,hard
make,it
it,mommy
make,it
it,<\s>
get,it
it,<\s>
on,it
it,<\s>
take,it
it,<\s>
get,it
it,<\s>
get,it
it,mommy
get,it
it,<\s>
are,you
you,<\s>
get,it
it,<\s>
pat,it
it,mommy
pat,it
it,my
<s>,you
you,go
get,him
him,<\s>
get,him
him,<\s>
get,him
him,<\s>
take,him
him,<\s>
<s>,you
you,make
fix,it
it,<\s>
fix,it
it,<\s>
fix,it
it,<\s>
close,it
it,<\s>
close,it
it,<\s>
close,it
it,<\s>
close,it
it,<\s>
draw,it
it,<\s>
<s>,i
i,want
see,it
it,<\s>
see,it
it,<\s>
<s>,her
her,holding
<s>,i
i,look
get,it
it,<\s>
on,him
him,<\s>
step,him
him,<\s>
get,it
it,<\s>
no,he
he,bite
eating,it
it,<\s>
<s>,i
i,have
have,it
it,<\s>
<s>,i
i,have
have,it
it,<\s>
<s>,you
you,like
take,it
it,<\s>
read,it
it,<\s>
top,it
it,top
top,it
it,train
push,him
him,<\s>
push,him
him,<\s>
isn't,it
it,<\s>
get,it
it,<\s>
do,it
it,mommy
get,it
it,<\s>
get,it
it,<\s>
eat,it
it,<\s>
feed,him
him,<\s>
feed,him
him,<\s>
eat,it
it,dolly
<s>,me
me,<\s>
read,it
it,<\s>
eat,it
it,<\s>
taste,it
it,<\s>
taste,it
it,mommy
taste,it
it,mommy
feed,it
it,<\s>
rub,it
it,<\s>
rub,it
it,<\s>
rub,it
it,<\s>
place,it
it,backy
kiss,him
him,<\s>
kiss,him
him,<\s>
<s>,him
him,<\s>
did,you
you,put
put,it
it,<\s>
need,her
her,<\s>
need,her
her,<\s>
need,her
her,<\s>
need,her
her,<\s>
need,her
her,<\s>
need,her
her,<\s>
need,her
her,<\s>
are,they
they,sleeping
swing,it
it,<\s>
take,it
it,<\s>
take,it
it,<\s>
have,it
it,<\s>
take,it
it,nina
take,it
it,<\s>
take,it
it,<\s>
put,it
it,in
<s>,they
they,need
get,it
it,<\s>
get,it
it,<\s>
<s>,i
i,fall
need,it
it,<\s>
need,it
it,<\s>
need,it
it,<\s>
have,it
it,<\s>
take,it
it,off
fix,it
it,my
take,it
it,<\s>
take,it
it,<\s>
want,it
it,<\s>
shall,we
we,fix
have,it
it,<\s>
hold,it
it,<\s>
<s>,i
i,turn
take,it
it,<\s>
take,it
it,<\s>
xxx,it
it,<\s>
have,it
it,<\s>
take,it
it,off
do,it
it,<\s>
do,it
it,<\s>
do,it
it,<\s>
do,it
it,<\s>
<s>,i
i,popping
hold,him
him,<\s>
pat,him
him,<\s>
have,it
it,<\s>
stick,it
it,in
do,it
it,<\s>
have,it
it,the
have,it
it,whistle
take,it
it,off
do,it
it,mommy
on,it
it,<\s>
have,it
it,linda
give,it
it,linda
have,it
it,<\s>
have,it
it,<\s>
have,it
it,<\s>
have,it
it,<\s>
close,him
him,<\s>
close,him
him,<\s>
take,him
him,<\s>
take,him
him,on
take,it
it,<\s>
have,it
it,mommy
have,it
it,<\s>
have,it
it,<\s>
gave,it
it,<\s>
gave,it
it,<\s>
gave,it
it,<\s>
on,it
it,<\s>
read,it
it,mommy
gave,it
it,my
tear,it
it,<\s>
tear,it
it,<\s>
put,it
it,hand
hold,it
it,<\s>
hold,him
him,<\s>
xxx,him
him,<\s>
gave,him
him,<\s>
gave,him
him,<\s>
blow,them
them,<\s>
tear,it
it,<\s>
read,it
it,mommy
put,it
it,down
have,it
it,<\s>
have,it
it,<\s>
have,it
it,<\s>
hold,him
him,<\s>
make,it
it,stand
make,her
her,stand
have,it
it,<\s>
have,it
it,<\s>
to,you
you,<\s>
to,you
you,<\s>
to,you
you,<\s>
to,you
you,happy
to,you
you,<\s>
gave,it
it,<\s>
gave,it
it,<\s>
gave,it
it,<\s>
on,it
it,<\s>
on,it
it,<\s>
in,it
it,<\s>
draw,it
it,mommy
on,it
it,<\s>
on,it
it,<\s>
on,it
it,<\s>
xxx,it
it,<\s>
gave,it
it,<\s>
eat,it
it,<\s>
gave,it
it,<\s>
gave,it
it,<\s>
gave,it
it,me
it,me
me,<\s>
get,it
it,down
put,it
it,down
take,it
it,down
put,it
it,him
it,him
him,down
put,him
him,down
xxx,him
him,<\s>
<s>,me
me,lie
put,it
it,down
<s>,i
i,catch
catch,you
you,<\s>
hold,him
him,on
<s>,me
me,eat
open,it
it,<\s>
open,it
it,<\s>
<s>,i
i,<\s>
feed,him
him,food
feed,him
him,food
feed,him
him,coffee
xxx,him
him,cereal
do,it
it,<\s>
do,it
it,<\s>
do,it
it,<\s>
tell,me
me,<\s>
tell,me
me,<\s>
<s>,i
i,tell
tell,you
you,<\s>
off,him
him,eyes
off,him
him,eyes
<s>,me
me,<\s>
<s>,me
me,<\s>
open,it
it,<\s>
close,it
it,on
fix,it
it,<\s>
that's,him
him,been
that's,him
him,been
take,it
it,out
<s>,you
you,xxx
<s>,you
you,xxx
<s>,you
you,linda
<s>,you
you,stop
xxx,me
me,<\s>
hold,him
him,down
hold,him
him,down
see,him
him,<\s>
see,him
him,hard
see,him
him,hard
see,him
him,hard
feed,him
him,<\s>
feed,him
him,<\s>
feed,him
him,plate
put,him
him,<\s>
in,me
me,<\s>
want,it
it,<\s>
put,it
it,<\s>
<s>,i
i,need
need,it
it,<\s>
<s>,i
i,need
need,it
it,there
on,it
it,<\s>
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
on,it
it,roof
<s>,i
i,<\s>
seed,you
you,<\s>
<s>,i
i,give
to,you
you,<\s>
and,i
i,<\s>
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
have,me
me,<\s>
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,got
tear,it
it,<\s>
<s>,i
i,have
<s>,you
you,there's
here's,him
him,<\s>
there's,him
him,<\s>
there's,him
him,<\s>
<s>,me
me,you
me,you
you,mores
see,him
him,<\s>
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
<s>,i
i,co
<s>,i
i,color
color,me
me,<\s>
co,i
i,color
<s>,i
i,fix
fix,it
it,open
<s>,i
i,have
<s>,i
i,have
<s>,i
i,close
<s>,i
i,close
<s>,i
i,close
<s>,i
i,have
<s>,i
i,have
<s>,i
i,have
a,me
me,<\s>
touch,it
it,<\s>
<s>,you
you,take
some,me
me,<\s>
some,me
me,<\s>
<s>,i
i,i
i,have
<s>,i
i,have
<s>,he
he,got
<s>,i
i,get
get,him
him,on
<s>,i
i,close
the,i
i,close
don't,you
you,get
<s>,i
i,sliding
<s>,i
i,slide
<s>,you
you,fix
fix,it
it,<\s>
<s>,you
you,fix
fix,it
it,<\s>
<s>,you
you,eat
<s>,i
i,have
hold,it
it,<\s>
<s>,i
i,have
here,you
you,<\s>
here,you
you,<\s>
here,you
you,<\s>
cut,it
it,<\s>
that,me
me,<\s>
to,me
me,<\s>
<s>,we
we,eat
<s>,i
i,go
<s>,i
i,go
<s>,you
you,sit
<s>,you
you,sit
<s>,i
i,have
touch,it
it,<\s>
touch,it
it,<\s>
touch,it
it,don't
touch,it
it,<\s>
<s>,i
i,come
<s>,i
i,close
gave,it
it,<\s>
bring,it
it,<\s>
there,him
him,<\s>
here's,him
him,<\s>
there's,him
him,<\s>
<s>,i
i,bring
<s>,i
i,sit
<s>,i
i,have
have,me
me,eye
<s>,i
i,have
<s>,i
i,wet
<s>,i
i,made
<s>,i
i,made
<s>,i
i,made
<s>,i
i,xxx
feed,me
me,<\s>
feed,me
me,<\s>
fix,it
it,lamp
fix,it
it,<\s>
<s>,i
i,have
have,me
me,i
me,i
i,take
take,it
it,out
xxx,me
me,and
<s>,i
i,have
gave,it
it,<\s>
<s>,i
i,have
<s>,i
i,have
<s>,i
i,want
<s>,i
i,break
for,me
me,<\s>
for,me
me,<\s>
<s>,they
they,run
<s>,they
they,got
<s>,i
i,want
<s>,i
i,i
i,go
<s>,you
you,<\s>
<s>,you
you,<\s>
<s>,you
you,hurt
have,it
it,<\s>
take,me
me,bottle
take,me
me,bottles
and,me
me,cold
move,me
me,doll
<s>,i
i,in
xxx,i
i,made
take,it
it,off
find,it
it,<\s>
find,it
it,<\s>
find,it
it,<\s>
throw,it
it,<\s>
<s>,i
i,don't
my,i
i,play
on,me
me,hand
<s>,i
i,catch
<s>,i
i,catch
<s>,i
i,catch
<s>,i
i,see
<s>,i
i,got
got,him
him,<\s>
<s>,you
you,can't
<s>,me
me,<\s>
<s>,you
you,make
<s>,he
he,<\s>
<s>,you
you,make
<s>,you
you,make
butterfly,me
me,<\s>
<s>,i
i,make
make,him
him,tail
<s>,i
i,make
make,him
him,tail
make,him
him,tail
<s>,i
i,take
take,him
him,tail
<s>,i
i,take
take,him
him,tail
did,i
i,make
on,me
me,<\s>
<s>,you
you,make
oh,you
you,can
<s>,he
he,have
<s>,i
i,caught
cut,it
it,<\s>
cut,it
it,<\s>
caught,it
it,<\s>
mommy,you
you,caught
caught,it
it,<\s>
<s>,i
i,make
<s>,i
i,make
fix,it
it,<\s>
<s>,i
i,make
<s>,i
i,saw
<s>,i
i,saw
oh,i
i,tired
<s>,i
i,tired
<s>,i
i,tired
<s>,you
you,help
help,me
me,get
<s>,i
i,have
<s>,i
i,make
<s>,i
i,make
<s>,i
i,take
<s>,i
i,can't
leave,it
it,on
<s>,i
i,make
<s>,you
you,make
<s>,i
i,make
<s>,i
i,make
<s>,i
i,make
push,me
me,<\s>
have,him
him,<\s>
have,him
him,<\s>
have,him
him,<\s>
have,him
him,<\s>
<s>,you
you,touch
touch,him
him,<\s>
pat,him
him,<\s>
<s>,you
you,were
<s>,i
i,saw
<s>,i
i,take
take,it
it,too
<s>,i
i,take
<s>,i
i,slide
take,me
me,<\s>
<s>,you
you,clay
<s>,you
you,play
<s>,i
i,love
love,him
him,<\s>
<s>,i
i,love
give,me
me,candy
<s>,i
i,eat
here,it
it,is
<s>,i
i,eat
eat,it
it,<\s>
<s>,you
you,you
you,eat
eat,it
it,<\s>
no,i
i,take
take,it
it,in
<s>,i
i,eat
eat,it
it,<\s>
<s>,i
i,take
take,it
it,out
<s>,i
i,take
take,it
it,out
put,it
it,on
<s>,i
i,going
close,him
him,<\s>
close,him
him,<\s>
taste,him
him,<\s>
eat,him
him,<\s>
<s>,i
i,sit
<s>,i
i,eat
eat,it
it,<\s>
<s>,i
i,eating
<s>,i
i,ate
<s>,i
i,eat
<s>,i
i,eat
<s>,i
i,eat
touch,me
me,<\s>
pull,it
it,off
off,me
me,<\s>
let,me
me,have
<s>,i
i,don't
<s>,i
i,don't
do,it
it,<\s>
<s>,i
i,ride
on,him
him,seat
hold,him
him,big
put,it
it,on
xxx,you
you,get
<s>,you
you,remember
<s>,you
you,remember
get,him
him,the
<s>,you
you,chase
<s>,i
i,bite
<s>,you
you,have
<s>,you
you,have
<s>,you
you,have
<s>,her
her,pig
<s>,i
i,want
<s>,i
i,want
<s>,he
he,fall
<s>,he
he,fall
<s>,you
you,mean
<s>,you
you,see
see,him
him,<\s>
biting,me
me,<\s>
<s>,me
me,<\s>
biting,me
me,<\s>
<s>,i
i,that
<s>,i
i,wanna
<s>,he
he,he
he,break
<s>,he
he,giddy
touch,him
him,<\s>
touch,him
him,<\s>
<s>,you
you,touch
put,him
him,another
put,him
him,another
put,him
him,another
put,him
him,another
bite,them
them,<\s>
no,you
you,no
<s>,you
you,no
<s>,you
you,no
on,you
you,on
have,it
it,<\s>
please,you
you,pat
<s>,he
he,<\s>
my,you
you,you
you,brush
<s>,i
i,bending
bending,him
him,<\s>
<s>,i
i,bend
<s>,i
i,bending
<s>,he
he,bending
put,him
him,down
<s>,i
i,get
<s>,you
you,sit
<s>,you
you,sit
<s>,i
i,take
<s>,i
i,taking
<s>,he
he,can't
<s>,him
him,can't
build,it
it,together
<s>,he
he,can't
<s>,he
he,don't
<s>,he
he,don't
<s>,he
he,don't
<s>,he
he,don't
<s>,he
he,can't
<s>,you
you,go
<s>,it
it,goes
put,it
it,on
shall,we
we,do
<s>,you
you,see
<s>,her
her,feet
<s>,you
you,get
<s>,he
he,can't
<s>,he
he,can't
<s>,you
you,you
you,make
put,it
it,off
<s>,he
he,he
he,jacket
<s>,he
he,jacket
<s>,i
i,take
take,him
him,slacks
take,him
him,slack
take,him
him,jacket
<s>,he
he,ready
<s>,he
he,ready
<s>,you
you,sit
<s>,you
you,read
<s>,i
i,close
close,her
her,<\s>
put,her
her,put
put,her
her,down
put,her
her,down
<s>,i
i,get
<s>,i
i,got
<s>,i
i,get
<s>,i
i,get
<s>,you
you,read
read,it
it,<\s>
<s>,i
i,have
<s>,i
i,want
give,me
me,lollipop
<s>,i
i,can't
<s>,i
i,taste
taste,it
it,<\s>
<s>,i
i,remember
see,you
you,<\s>
have,it
it,<\s>
<s>,i
i,pay
<s>,i
i,paying
<s>,i
i,call
<s>,i
i,think
in,her
her,big
<s>,her
her,big
<s>,her
her,her
her,have
<s>,i
i,see
<s>,i
i,saw
<s>,you
you,play
<s>,you
you,play
<s>,i
i,draw
<s>,i
i,draw
<s>,you
you,you
you,dogs
<s>,you
you,dogs
<s>,you
you,make
<s>,i
i,make
<s>,i
i,make
<s>,i
i,make
<s>,i
i,drawing
<s>,you
you,drawing
<s>,you
you,drawing
<s>,you
you,draw
<s>,i
i,draw
<s>,i
i,draw
<s>,you
you,draw
<s>,you
you,draw
<s>,he
he,did
<s>,he
he,did
<s>,he
he,don't
don't,he
he,he
he,he
he,don't
don't,he
he,don't
don't,he
he,don't
eat,her
her,food
nina,her
her,nina
ate,her
her,food
<s>,i
i,made
<s>,it
it,basket
<s>,i
i,make
<s>,i
i,make
<s>,i
i,make
<s>,i
i,draw
<s>,i
i,draw
<s>,i
i,draw
<s>,i
i,draw
<s>,i
i,draw
<s>,you
you,draw
<s>,you
you,draw
<s>,you
you,draw
<s>,you
you,tri
tri,you
you,tri
<s>,you
you,drawing
<s>,you
you,try
<s>,you
you,draw
<s>,you
you,draw
<s>,you
you,draw
let,you
you,draw
<s>,i
i,saw
<s>,i
i,draw
<s>,i
i,draw
<s>,you
you,pick
<s>,you
you,put
<s>,me
me,have
<s>,i
i,draw
<s>,him
him,finger
boy,you
you,draw
close,it
it,<\s>
close,it
it,<\s>
close,it
