0,1
<s>,stand
stand,up
up,peter
peter,<\s>
<s>,peter
peter,<\s>
<s>,you
you,wan
wan,ta
ta,get
get,up
up,<\s>
<s>,well
well,i'm
i'm,sitting
sitting,here
here,<\s>
<s>,penny
penny,<\s>
<s>,did
did,you
you,see
see,the
the,dog
dog,outside
outside,<\s>
<s>,did
did,you
you,see
see,the
the,dog
dog,outside
outside,<\s>
<s>,the
the,dog
dog,that
that,was
was,barking
barking,<\s>
<s>,he
he,wants
wants,to
to,get
get,down
down,<\s>
<s>,that's
that's,a
a,pen
pen,is
is,that
that,a
a,pen
pen,you
you,said
said,it
it,was
was,a
a,penny
penny,<\s>
<s>,i
i,think
think,it's
it's,a
a,pen
pen,<\s>
<s>,pen
pen,penny
penny,are
are,you
you,gonna
gonna,write
write,on
on,the
the,paper
paper,<\s>
<s>,go
go,out
out,in
in,the
the,living
living,room
room,and
and,write
write,on
on,the
the,paper
paper,<\s>
<s>,you
you,get
get,in
in,your
your,seat
seat,you
you,get
get,in
in,your
your,seat
seat,you
you,get
get,in
in,your
your,seat
seat,<\s>
<s>,sit
sit,in
in,your
your,seat
seat,sit
sit,sit
sit,sit
sit,sit
sit,<\s>
<s>,peter
peter,you
you,wanna
wanna,sit
sit,in
in,the
the,other
other,room
room,<\s>
<s>,let's
let's,go
go,sit
sit,at
at,the
the,table
table,okay
okay,<\s>
<s>,let's
let's,go
go,sit
sit,at
at,the
the,table
table,<\s>
<s>,yeah
yeah,<\s>
<s>,table
table,yes
yes,<\s>
<s>,here's
here's,some
some,mashed
mashed,potatoes
potatoes,here's
here's,your
your,spoon
spoon,<\s>
<s>,is
is,it
it,hot
hot,<\s>
<s>,put
put,some
some,xxx
xxx,<\s>
<s>,it's
it's,pretty
pretty,hot
hot,<\s>
<s>,is
is,that
that,still
still,hot
hot,<\s>
<s>,you
you,want
want,some
some,more
more,hamburger
hamburger,<\s>
<s>,would
would,you
you,like
like,some
some,more
more,hamburger
hamburger,<\s>
<s>,you
you,xxx
xxx,<\s>
<s>,you
you,want
want,some
some,<\s>
<s>,are
are,you
you,finished
finished,<\s>
<s>,no
no,well
well,why
why,are
are,you
you,pushing
pushing,the
the,food
food,away
away,<\s>
<s>,nobody's
nobody's,putting
putting,their
their,hands
hands,on
on,arms
arms,on
on,the
the,table
table,<\s>
<s>,you
you,gonna
gonna,eat
eat,some
some,of
of,that
that,<\s>
<s>,you
you,can
can,finish
finish,that
that,<\s>
<s>,greased
greased,up
up,<\s>
<s>,think
think,you
you,can
can,use
use,a
a,napkin
napkin,for
for,your
your,hands
hands,<\s>
<s>,hey
hey,c
c,on
on,<\s>
<s>,no
no,<\s>
<s>,you
you,finished
finished,<\s>
<s>,you
you,want
want,any
any,more
more,<\s>
<s>,why
why,don't
don't,you
you,take
take,another
another,bite
bite,of
of,that
that,<\s>
<s>,you
you,wanna
wanna,take
take,this
this,off
off,<\s>
<s>,okay
okay,let
let,me
me,wash
wash,<\s>
<s>,wipe
wipe,your
your,face
face,<\s>
<s>,you
you,hit
hit,your
your,head
head,did
did,this
this,chair
chair,hit
hit,you
you,<\s>
<s>,how
how,finishing
finishing,your
your,milk
milk,<\s>
<s>,what's
what's,the
the,problem
problem,peter
peter,<\s>
<s>,xxx
xxx,the
the,ball
ball,<\s>
<s>,do
do,you
you,have
have,some
some,money
money,peter
peter,<\s>
<s>,can
can,i
i,have
have,some
some,money
money,<\s>
<s>,i
i,hafta
hafta,put
put,the
the,wash
wash,in
in,the
the,dryer
dryer,<\s>
<s>,no
no,<\s>
<s>,could
could,you
you,just
just,give
give,it
it,to
to,me
me,and
and,then
then,i'll
i'll,put
put,it
it,away
away,for
for,awhile
awhile,okay
okay,<\s>
<s>,awoh
awoh,<\s>
<s>,one
one,<\s>
<s>,your
your,shoe's
shoe's,coming
coming,undone
undone,<\s>
<s>,that's
that's,a
a,drill
drill,<\s>
<s>,drill
drill,noise
noise,<\s>
<s>,yeah
yeah,it's
it's,broken
broken,isn't
isn't,it
it,<\s>
<s>,you
you,gonna
gonna,read
read,the
the,book
book,you
you,gonna
gonna,read
read,the
the,book
book,<\s>
<s>,pat
pat,the
the,bunny
bunny,<\s>
<s>,yeah
yeah,<\s>
<s>,are
are,you
you,gonna
gonna,pat
pat,the
the,bunny
bunny,<\s>
<s>,judy
judy,and
and,paul
paul,pat
pat,the
the,bunny
bunny,don't
don't,they
they,<\s>
<s>,bye
bye,yeah
yeah,they're
they're,waving
waving,bye
bye,to
to,you
you,that's
that's,right
right,<\s>
<s>,what
what,are
are,those
those,<\s>
<s>,peek
peek,you
you,like
like,to
to,play
play,peekaboo
peekaboo,<\s>
<s>,byebye
byebye,what
what,about
about,the
the,what
what,about
about,the
the,mirror
mirror,<\s>
<s>,you
you,gonna
gonna,look
look,at
at,that
that,one
one,<\s>
<s>,find
find,that
that,page
page,<\s>
<s>,what's
what's,that
that,<\s>
<s>,face
face,right
right,<\s>
<s>,scratchy
scratchy,face
face,<\s>
<s>,ouch
ouch,<\s>
<s>,did
did,you
you,find
find,the
the,ring
ring,<\s>
