0,1
do,you
you,see
is,he
he,hopping
is,he
he,playing
isn't,he
he,<\s>
that,you
you,were
isn't,he
he,<\s>
isn't,it
it,<\s>
<s>,it
it,sure
<s>,you
you,think
is,it
it,a
<s>,he
he,has
is,he
he,<\s>
is,he
he,black
isn't,he
he,<\s>
can,you
you,say
isn't,he
he,<\s>
bug,i
i,think
isn't,he
he,<\s>
doesn't,he
he,<\s>
is,he
he,doing
do,you
you,like
does,he
he,have
doesn't,it
it,<\s>
do,you
you,like
can,you
you,sing
can,you
you,sing
<s>,i
i,don't
isn't,he
he,<\s>
<s>,he
he,hops
<s>,he
he,hops
don't,you
you,bring
won't,you
you,read
are,you
you,going
<s>,he
he,looks
but,he
he,is
rabbit,you
you,mean
at,it
it,some
do,you
you,want
do,you
you,see
do,you
you,want
in,it
it,<\s>
do,you
you,like
do,you
you,like
do,you
you,eat
do,you
you,eat
do,you
you,eat
do,you
you,eat
do,you
you,want
is,he
he,doing
isn't,he
he,<\s>
no,you
you,can't
<s>,you
you,have_to
no,i
i,think
isn't,he
he,<\s>
painting,it
it,red
are,they
they,<\s>
are,they
they,called
are,they
they,<\s>
are,they
they,called
are,they
they,called
can,you
you,say
<s>,you
you,eat
eat,you
you,with
<s>,you
you,chew
do,you
you,like
<s>,you
you,like
<s>,you
you,like
like,him
him,<\s>
is,he
he,cute
are,you
you,doing
are,you
you,patting
do,you
you,want
do,you
you,want
shall,we
we,find
no,you
you,can't
<s>,i
i,see
if,you
you,do
are,you
you,going
do,you
you,want
is,it
it,hard
<s>,you
you,try
try,it
it,<\s>
can,you
you,say
<s>,i
i,don't
can,you
you,show
show,me
me,where
<s>,she
she,has
<s>,i
i,don't
can,you
you,put
<s>,he
he,hurts
animals,you
you,have
can,you
you,tell
tell,me
me,<\s>
is,it
it,hard
that's,it
it,<\s>
<s>,it
it,fit
didn't,it
it,<\s>
if,you
you,can
can,you
you,fit
right,you
you,fit
did,he
he,fall
<s>,he
he,fell
pig,he
he,fell
shall,we
we,dress
shall,we
we,dress
shall,we
we,dress
are,we
we,doing
is,she
she,fixing
shall,we
we,put
is,it
it,a
do,you
you,like
can,you
you,give
are,you
you,doing
are,you
you,doing
are,you
you,doing
would,you
you,like
are,you
you,doing
are,you
you,eating
is,it
it,a
shall,we
we,make
<s>,you
you,make
do,you
you,like
to,you
you,pants
did,they
they,fall
did,they
they,fall
do,you
you,want
want,me
me,to
am,i
i,doing
do,you
you,want
want,me
me,to
can,you
you,take
is,it
it,hard
<s>,you
you,try
if,you
you,can
take,it
it,off
shall,i
i,untie
untie,it
it,<\s>
can,you
you,say
can,you
you,say
are,you
you,doing
want,me
me,to
tie,it
it,<\s>
are,you
you,giving
are,you
you,giving
are,you
you,doing
do,you
you,want
want,me
me,to
are,you
you,doing
are,you
you,drinking
here,we
we,go
is,it
it,good
are,you
you,drinking
shall,we
we,build
do,you
you,want
want,it
it,to
did,it
it,fall
can,you
you,build
build,it
it,some
see,you
you,build
build,it
it,<\s>
are,you
you,doing
are,you
you,putting
did,it
it,fall
dear,we
we,have_to
don't,you
you,bring
bring,me
me,the
aren't,they
they,<\s>
are,you
you,putting
did,you
you,put
did,you
you,do
did,you
you,do
did,you
you,make
do,you
you,want
want,me
me,to
make,it
it,<\s>
let,me
me,make
make,it
it,and
then,you
you,are
knock,it
it,down
did,it
it,fall
did,it
it,fall
<s>,you
you,make
make,it
it,now
<s>,you
you,making
<s>,it
it,fall
are,you
you,going
put,it
it,<\s>
can,you
you,put
did,you
you,do
<s>,you
you,put
did,it
it,fall
what,you
you,looking
<s>,it
it,fell
do,you
you,think
shall,we
we,feed
shall,we
we,give
<s>,you
you,give
want,me
me,to
would,you
you,like
<s>,you
you,giving
giving,it
it,back
is,it
it,<\s>
<s>,you
you,going
throw,it
it,to
to,me
me,<\s>
am,i
i,doing
am,i
i,doing
oh,you
you,going
isn't,she
she,<\s>
are,you
you,doing
do,you
you,like
shall,we
we,get
do,you
you,want
can,you
you,say
did,you
you,do
did,you
you,just
did,you
you,do
let,me
me,roll
to,you
you,<\s>
can,you
you,roll
<s>,you
you,roll
there,you
you,roll
shall,i
i,roll
roll,it
it,back
here,you
you,are
are,you
you,doing
are,you
you,doing
can,you
you,find
can,you
you,find
do,you
you,want
want,me
me,to
get,it
it,<\s>
can,you
you,get
get,it
it,<\s>
<s>,you
you,get
get,it
it,nina
<s>,you
you,try
do,you
you,want
want,me
me,to
can,you
you,say
oh,you
you,got
would,you
you,like
are,you
you,doing
<s>,you
you,want
want,me
me,to
am,i
i,doing
here,we
we,go
would,you
you,like
<s>,i
i,bought
bought,you
you,some
shall,we
we,put
shall,we
we,put
shall,we
we,put
shall,we
we,put
can,you
you,sit
and,we
we,will
do,you
you,want
well,we
we,have_to
would,you
you,like
do,you
you,want
on,her
her,socks
see,you
you,put
are,they
they,big
if,you
you,can
put,them
them,on
are,you
you,doing
<s>,you
you,want
want,me
me,to
am,i
i,doing
here,we
we,go
would,you
you,like
<s>,i
i,bought
bought,you
you,some
shall,we
we,put
shall,we
we,put
shall,we
we,put
did,you
you,take
isn't,it
it,<\s>
do,you
you,want
<s>,she
she,did
oh,you
you,hugging
does,she
she,feel
does,she
she,feel
do,you
you,want
doesn't,she
she,<\s>
<s>,it
it,is
no,i
i,think
think,we
we,can
find,it
it,<\s>
do,you
you,want
do,you
you,want
can,you
you,say
are,you
you,talking
are,you
you,<\s>
did,it
it,pop
are,you
you,talking
can,you
you,push
<s>,you
you,push
are,you
you,pushing
is,it
it,hard
when,you
you,push
when,you
you,push
do,you
you,like
can,you
you,dance
do,you
you,like
<s>,we
we,have_to
do,you
you,like
do,you
you,want
isn't,he
he,<\s>
no,he
he,went
<s>,he
he,went
are,you
you,playing
oh,you
you,mean
are,you
you,doing
<s>,you
you,have
on,her
her,ears
are,you
you,giving
can,you
you,bring
<s>,i
i,see
<s>,i
i,like
do,you
you,like
gave,you
you,that
<s>,it
it,is
<s>,he
he,looks
is,he
he,<\s>
<s>,you
you,want
want,me
me,to
take,him
him,<\s>
shall,we
we,put
put,him
him,in
get,him
him,<\s>
can,you
you,go
to,them
them,<\s>
<s>,they
they,did
made,them
them,fall
<s>,you
you,fell
yes,i
i,like
do,you
you,like
like,him
him,<\s>
<s>,he
he,has
do,you
you,want
want,me
me,to
<s>,you
you,put
put,them
them,down
shall,we
we,put
put,we
we,socks
do,you
you,want
shall,i
i,put
put,them
them,<\s>
let,me
me,put
let,me
me,put
can,you
you,put
so,you
you,don't
will,you
you,step
<s>,he
he,has
doesn't,he
he,<\s>
<s>,i
i,don't
<s>,i
i,think
does,it
it,<\s>
isn't,it
it,<\s>
here,they
they,are
do,you
you,go
work,you
you,go
don't,you
you,<\s>
sent,you
you,<\s>
<s>,i
i,don't
see,it
it,<\s>
is,it
it,<\s>
here,it
it,is
<s>,you
you,make
<s>,you
you,can
<s>,you
you,want
want,me
me,to
give,me
me,the
for,you
you,<\s>
now,you
you,make
<s>,you
you,making
<s>,you
you,want
<s>,you
you,want
can,you
you,make
<s>,i
i,think
isn't,he
he,<\s>
<s>,we
we,can
do,you
you,want
do,you
you,want
put,them
them,on
shall,we
we,put
do,you
you,want
oh,you
you,put
isn't,it
it,<\s>
<s>,you
you,want
<s>,you
you,going
do,you
you,want
give,me
me,your
did,it
it,fall
do,you
you,want
want,me
me,to
fix,it
it,for
for,you
you,<\s>
so,i
i,can
fix,it
it,for
for,you
you,<\s>
<s>,you
you,got
to,you
you,<\s>
do,you
you,want
attach,it
it,to
yeah,we
we,put
are,you
you,pulling
shall,we
we,take
do,you
you,want
don't,you
you,bring
<s>,you
you,want
put,him
him,away
did,you
you,close
do,you
you,want
did,you
you,close
<s>,you
you,want
do,you
you,want
take,them
them,apart
can,you
you,put
put,them
them,together
did,you
you,close
close,it
it,<\s>
can,you
you,put
did,it
it,come
are,you
you,closing
closing,it
it,<\s>
shall,we
we,build
shall,we
we,build
<s>,you
you,want
<s>,you
you,build
<s>,you
you,just
then,you
you,put
<s>,you
you,want
can,you
you,put
don't,you
you,put
do,you
you,want
plant,it
it,by
don't,you
you,plant
plant,it
it,right
<s>,you
you,going
plant,it
it,on
don't,you
you,take
bring,him
him,to
is,he
he,<\s>
<s>,you
you,put
shall,we
we,do
shall,we
we,put
do,you
you,want
want,me
me,to
shall,we
we,draw
shall,we
we,draw
do,you
you,want
shall,we
we,put
to,it
it,<\s>
shall,i
i,draw
here,she
she,is
<s>,you
you,want
<s>,she
she,can't
<s>,you
you,want
don't,you
you,take
shall,we
we,take
don't,you
you,go
<s>,you
you,go
shall,we
we,go
shall,we
we,take
do,you
you,want
shall,we
we,buy
shall,we
we,buy
do,you
you,want
shall,we
we,buy
do,you
you,want
shall,we
we,buy
do,you
you,like
do,you
you,like
do,you
you,like
else,i
i,don't
for,them
them,<\s>
get,it
it,<\s>
<s>,you
you,making
<s>,you
you,really
do,you
you,know
is,it
it,called
is,it
it,called
is,it
it,called
can,you
you,say
do,you
you,want
there,it
it,is
<s>,you
you,put
didn't,you
you,<\s>
<s>,i
i,don't
on,her
her,<\s>
are,you
you,giving
giving,me
me,the
<s>,i
i,see
<s>,you
you,have
don't,you
you,<\s>
<s>,it
it,is
<s>,he
he,fell
did,he
he,get
do,you
you,want
want,me
me,to
with,you
you,<\s>
what,i
i,have
did,we
we,go
did,you
you,have
did,you
you,go
did,you
you,like
<s>,you
you,saw
did,you
you,see
did,you
you,see
<s>,you
you,saw
did,you
you,see
<s>,you
you,saw
<s>,you
you,saw
did,you
you,see
did,you
you,see
did,you
you,pat
when,you
you,went
did,you
you,feed
did,you
you,feed
<s>,you
you,fed
<s>,you
you,fed
fed,them
them,with
did,they
they,bite
was,it
it,fun
<s>,you
you,didn't
did,you
you,<\s>
<s>,you
you,fed
did,you
you,feed
did,you
you,feed
did,you
you,feed
did,you
you,feed
do,you
you,want
did,you
you,see
did,you
you,see
<s>,you
you,saw
did,you
you,see
did,you
you,see
yes,you
you,saw
did,you
you,see
did,you
you,chase
did,you
you,run
after,them
them,<\s>
were,they
they,doing
were,they
they,swimming
were,they
they,swimming
<s>,they
they,were
<s>,they
they,were
<s>,they
they,were
<s>,you
you,saw
<s>,i
i,don't
<s>,i
i,don't
do,you
you,want
there,you
you,can
did,you
you,go
did,you
you,see
did,you
you,see
<s>,you
you,saw
did,you
you,see
<s>,they
they,were
<s>,they
they,were
weren't,they
they,<\s>
did,you
you,hold
<s>,you
you,held
did,you
you,go
did,you
you,go
did,you
you,go
did,you
you,go
<s>,you
you,went
did,you
you,like
<s>,it
it,went
do,you
you,want
shall,we
we,go
shall,we
we,go
were,they
they,walking
<s>,they
they,were
<s>,they
they,hopped
then,they
they,fell
then,they
they,jumped
did,you
you,see
<s>,he
he,woke
<s>,he
he,was
wasn't,he
he,<\s>
do,you
you,want
did,you
you,run
did,you
you,do
<s>,you
you,saw
did,you
you,like
did,you
you,like
did,you
you,like
did,you
you,like
<s>,you
you,did
<s>,you
you,want
want,me
me,to
sent,you
you,<\s>
sent,you
you,a
do,you
you,like
sent,you
you,<\s>
aren't,they
they,<\s>
do,you
you,like
shall,we
we,put
<s>,you
you,like
like,it
it,<\s>
count,them
them,<\s>
sent,you
you,another
do,you
you,want
see,it
it,<\s>
do,you
you,want
aren't,they
they,<\s>
way,you
you,open
open,it
it,<\s>
<s>,you
you,open
open,it
it,this
no,you
you,can't
open,it
it,that
way,you
you,open
<s>,she
she,is
isn't,she
she,<\s>
do,you
you,like
that,you
you,have
is,she
she,holding
is,her
her,dress
is,her
her,dress
<s>,he
he,is
<s>,i
i,like
is,she
she,going
<s>,you
you,think
<s>,i
i,hope
do,you
you,think
pop,it
it,<\s>
<s>,i
i,don't
<s>,i
i,think
holding,it
it,<\s>
is,she
she,holding
close,it
it,<\s>
what,i
i,found
can,you
you,look
do,you
you,see
<s>,you
you,see
is,it
it,a
can,you
you,comb
are,you
you,going
do,you
you,see
<s>,you
you,going
<s>,you
you,looking
<s>,you
you,see
<s>,you
you,see
did,you
you,feed
<s>,you
you,fed
did,you
you,feed
<s>,you
you,did
break,it
it,now
<s>,i
i,don't
don't,you
you,comb
can,you
you,comb
can,you
you,comb
<s>,you
you,want
look,he
he,sent
<s>,i
i,think
is,he
he,doing
aren't,we
we,<\s>
<s>,you
you,want
nina,you
you,look
do,you
you,see
<s>,you
you,don't
is,it
it,<\s>
do,you
you,have
do,you
you,see
<s>,i
i,think
<s>,i
i,don't
is,he
he,<\s>
no,i
i,think
don't,they
they,<\s>
<s>,he
he,did
did,he
he,like
like,it
it,<\s>
like,her
her,own
oh,i
i,see
do,you
you,think
<s>,i
i,think
<s>,you
you,closed
<s>,you
you,going
isn't,it
it,<\s>
<s>,i
i,don't
think,we
we,can
do,you
you,want
<s>,you
you,get
get,it
it,<\s>
want,me
me,to
here,it
it,goes
shall,we
we,keep
shall,we
we,put
<s>,you
you,just
on,him
him,<\s>
there,he
he,is
<s>,you
you,step
there,he
he,is
see,him
him,<\s>
<s>,you
you,stepped
on,him
him,<\s>
<s>,i
i,think
do,you
you,want
<s>,it
it,is
did,he
he,bite
<s>,he
he,did
<s>,i
i,don't
think,we
we,fed
but,we
we,did
did,you
you,see
oh,you
you,saw
isn't,he
he,<\s>
yes,he
he,is
is,it
it,<\s>
did,you
you,go
was,it
it,fun
aren't,they
they,<\s>
<s>,i
i,think
eating,it
it,<\s>
sent,you
you,<\s>
aren't,they
they,<\s>
is,he
he,holding
<s>,you
you,want
isn't,he
he,funny
no,he
he,won't
do,you
you,want
is,he
he,soft
no,he
he,won't
do,you
you,like
did,we
we,get
did,we
we,get
no,we
we,bought
remember,we
we,saw
was,he
he,<\s>
do,you
you,have
oh,i
i,bet
bet,we
we,can
find,him
him,<\s>
<s>,you
you,put
put,him
him,on
did,you
you,put
isn't,it
it,<\s>
<s>,you
you,like
don't,you
you,<\s>
oh,i
i,see
<s>,you
you,know
isn't,it
it,<\s>
yes,he
he,is
did,you
you,take
<s>,you
you,going
<s>,you
you,going
okay,we
we,have_to
is,she
she,sitting
<s>,i
i,think
are,you
you,doing
<s>,you
you,going
<s>,she
she,fell
shall,we
we,put
for,you
you,<\s>
there,it
it,is
are,you
you,putting
would,you
you,like
to,me
me,to
<s>,i
i,see
<s>,you
you,looking
<s>,you
you,going
put,him
him,in
do,you
you,want
want,me
me,to
push,him
him,<\s>
<s>,you
you,push
push,him
him,<\s>
<s>,you
you,push
are,you
you,doing
are,you
you,pushing
to,you
you,<\s>
isn't,it
it,<\s>
are,you
you,gonna
get,it
it,<\s>
do,you
you,want
want,me
me,to
do,it
it,<\s>
<s>,you
you,stand
are,you
you,doing
are,you
you,doing
are,you
you,pushing
are,you
you,doing
do,you
you,want
want,me
me,to
do,you
you,want
want,me
me,to
do,you
you,want
want,me
me,to
do,you
you,want
want,me
me,to
okay,i
i,pushed
gave,you
you,this
gave,you
you,this
<s>,i
i,like
don't,you
you,<\s>
is,it
it,<\s>
can,you
you,throw
to,me
me,<\s>
<s>,you
you,go
to,me
me,<\s>
can,you
you,pick
pick,it
it,up
throw,it
it,to
to,me
me,<\s>
is,he
he,walking
is,he
he,doing
isn't,he
he,<\s>
isn't,it
it,<\s>
<s>,it
it,is
do,you
you,like
do,you
you,buy
is,he
he,sleeping
do,you
you,like
buy,you
you,one
does,it
it,make
<s>,it
it,makes
is,he
he,flying
is,he
he,flying
<s>,he
he,walking
did,he
he,hurt
hurt,you
you,<\s>
did,he
he,bite
bite,you
you,<\s>
did,he
he,go
is,he
he,flying
do,you
you,wear
do,you
you,wear
do,you
you,put
do,you
you,do
do,you
you,bang
do,you
you,like
do,you
you,want
can,you
you,put
do,you
you,want
keep,it
it,on
can,i
i,have
have,it
it,on
is,it
it,on
is,it
it,on
do,you
you,like
<s>,you
you,have
don't,you
you,<\s>
to,you
you,last
didn't,they
they,<\s>
is,it
it,a
<s>,i
i,think
is,he
he,<\s>
did,he
he,climb
did,you
you,see
did,you
you,see
is,he
he,standing
does,he
he,have
<s>,i
i,think
think,he
he,has
can,you
you,read
can,you
you,count
count,them
them,one
do,you
you,know
do,you
you,know
is,it
it,<\s>
do,you
you,like
do,you
you,eat
aren't,they
they,<\s>
do,you
you,like
do,you
you,talk
do,you
you,talk
shall,we
we,talk
do,you
you,want
are,you
you,<\s>
<s>,you
you,talk
are,you
you,playing
did,you
you,watch
did,you
you,see
were,they
they,playing
did,you
you,see
do,you
you,like
<s>,you
you,want
<s>,you
you,put
are,you
you,doing
shall,we
we,give
do,you
you,want
shall,we
we,put
do,you
you,want
are,you
you,doing
did,you
you,put
do,you
you,want
feed,her
her,<\s>
are,you
you,doing
is,she
she,eating
would,you
you,like
is,she
she,drinking
<s>,i
i,think
shall,we
we,give
give,her
her,some
<s>,you
you,want
want,me
me,to
don't,we
we,feed
<s>,you
you,going
would,you
you,like
for,you
you,<\s>
shall,we
we,put
do,you
you,want
want,me
me,to
is,she
she,<\s>
are,you
you,going
do,you
you,see
is,he
he,doing
isn't,he
he,<\s>
are,they
they,giddying
is,he
he,swimming
isn't,he
he,<\s>
isn't,it
it,<\s>
is,she
she,reading
aren't,they
they,<\s>
do,you
you,want
do,you
you,want
want,me
me,to
shall,we
we,read
shall,we
we,look
is,he
he,fixing
isn't,he
he,<\s>
when,we
we,go
do,we
we,see
isn't,it
it,<\s>
can,you
you,name
isn't,he
he,<\s>
isn't,he
he,<\s>
is,he
he,standing
isn't,he
he,<\s>
do,you
you,want
do,you
you,want
don't,you
you,read
<s>,you
you,read
is,he
he,chasing
isn't,he
he,<\s>
do,you
you,want
are,you
you,giving
are,you
you,eating
eating,it
it,<\s>
does,it
it,taste
can,i
i,have
do,you
you,want
