0,1
<s>,xxx
xxx,<\s>
<s>,a
a,<\s>
<s>,ha
ha,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,up
up,ba
ba,bay
bay,<\s>
<s>,xxx
xxx,<\s>
<s>,ow
ow,<\s>
<s>,ah
ah,ah
ah,ah
ah,ah
ah,<\s>
<s>,um
um,um
um,ah
ah,ow
ow,ow
ow,<\s>
<s>,ow
ow,ow
ow,<\s>
<s>,moo
moo,<\s>
<s>,moo
moo,moo
moo,<\s>
<s>,xxx
xxx,<\s>
<s>,kit
kit,<\s>
<s>,ba
ba,ah
ah,ah
ah,<\s>
<s>,ow
ow,ow
ow,ow
ow,<\s>
<s>,kit
kit,kit
kit,kit
kit,<\s>
<s>,dere
dere,there
there,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,um
um,<\s>
<s>,xxx
xxx,<\s>
<s>,<\s>
<s>,me
me,me
me,yyy
yyy,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,ah
ah,<\s>
<s>,ah
ah,<\s>
<s>,ah
ah,<\s>
<s>,ow
ow,<\s>
<s>,o
o,<\s>
<s>,moo
moo,moo
moo,me
me,me
me,me
me,<\s>
<s>,oh
oh,<\s>
<s>,ow
ow,nany
nany,<\s>
<s>,oh
oh,<\s>
<s>,ow
ow,<\s>
<s>,hm
hm,<\s>
<s>,eh
eh,<\s>
<s>,eh
eh,eh
eh,eh
eh,<\s>
<s>,eh
eh,eh
eh,<\s>
<s>,dey
dey,dey
dey,they
they,done
done,<\s>
<s>,dey
dey,they
they,done
done,<\s>
<s>,whoo
whoo,<\s>
<s>,whoo
whoo,woo
woo,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,dey
dey,they
they,<\s>
<s>,who
who,<\s>
<s>,horsie
horsie,<\s>
<s>,horsie
horsie,<\s>
<s>,eueueu
eueueu,<\s>
<s>,ahu
ahu,<\s>
<s>,ahu
ahu,<\s>
<s>,ahu
ahu,<\s>
<s>,ahuhuhu
ahuhuhu,<\s>
<s>,piggie
piggie,<\s>
<s>,piggie
piggie,<\s>
<s>,piggie
piggie,<\s>
<s>,oug
oug,oug
oug,<\s>
<s>,chickie
