0,1
<s>,NOM
NOM,wants
<s>,NOM
NOM,think
can,NOM
NOM,have
<s>,NOM
NOM,hafta
don't,NOM
NOM,<\s>
<s>,NOM
NOM,talks
does,NOM
NOM,have
is,NOM
NOM,gone
should,NOM
NOM,wipe
oh,NOM
NOM,see
<s>,NOM
NOM,don't
shall,NOM
NOM,wash
<s>,NOM
NOM,think
think,NOM
NOM,wants
can,NOM
NOM,fix
can,NOM
NOM,fix
when,NOM
NOM,come
up,NOM
NOM,needs
what,NOM
NOM,are
yes,NOM
NOM,are
and,NOM
NOM,says
there,NOM
NOM,don't
<s>,NOM
NOM,just
no,NOM
NOM,think
<s>,NOM
NOM,probably
xxx,NOM
NOM,drove
that,NOM
NOM,really
mouth,NOM
NOM,give
<s>,NOM
NOM,mean
when,NOM
NOM,come
<s>,NOM
NOM,think
no,NOM
NOM,busy
busy,NOM
NOM,has
<s>,NOM
NOM,don't
<s>,NOM
NOM,getting
lunch,NOM
NOM,mean
yeah,NOM
NOM,see
did,NOM
NOM,<\s>
well,NOM
NOM,brought
well,NOM
NOM,don't
and,NOM
NOM,really
oh,NOM
NOM,see
<s>,NOM
NOM,were
but,NOM
NOM,don't
<s>,NOM
NOM,thought
thought,NOM
NOM,said
night,NOM
NOM,was
<s>,NOM
NOM,said
sure,NOM
NOM,doesn't
that,NOM
NOM,know
know,NOM
NOM,don't
<s>,NOM
NOM,usually
group,NOM
NOM,always
whichever,NOM
NOM,wants
finished,NOM
NOM,finished
shall,NOM
NOM,take
what,NOM
NOM,plays
when,NOM
NOM,feed
her,NOM
her,NOM
NOM,won't
pete,NOM
NOM,just
<s>,NOM
NOM,don't
night,NOM
NOM,thought
since,NOM
NOM,were
well,NOM
NOM,have
where,NOM
NOM,live
peter,NOM
NOM,don't
idea,NOM
NOM,don't
pete,NOM
NOM,have
should,NOM
NOM,bring
should,NOM
NOM,bring
should,NOM
NOM,bring
should,NOM
NOM,bring
shall,NOM
NOM,bring
<s>,NOM
NOM,don't
<s>,NOM
NOM,see
if,NOM
NOM,were
peter,NOM
NOM,don't
so,NOM
NOM,won't
oh,NOM
NOM,see
<s>,NOM
NOM,put
shall,NOM
NOM,throw
shall,NOM
NOM,wait
hope,NOM
NOM,have
<s>,NOM
NOM,don't
are,NOM
NOM,<\s>
see,NOM
NOM,know
is,NOM
NOM,a
<s>,NOM
NOM,didn't
but,NOM
NOM,don't
<s>,NOM
NOM,forgot
shall,NOM
NOM,bring
no,NOM
NOM,didn't
well,NOM
NOM,will
no,NOM
NOM,doesn't
<s>,NOM
NOM,think
think,NOM
NOM,hasta
bend,NOM
NOM,can't
is,NOM
NOM,gonna
that,NOM
NOM,don't
here,NOM
NOM,go
here,NOM
NOM,go
afternoon,NOM
NOM,can
<s>,NOM
NOM,think
ride,NOM
NOM,doesn't
because,NOM
NOM,took
oh,NOM
NOM,think
<s>,NOM
NOM,don't
xxx,NOM
NOM,took
<s>,NOM
NOM,wouldn't
<s>,NOM
NOM,didn't
<s>,NOM
NOM,don't
think,NOM
NOM,does
honey,NOM
NOM,don't
think,NOM
NOM,wants
<s>,NOM
NOM,don't
honey,NOM
NOM,doesn't
when,NOM
NOM,put
am,NOM
NOM,in
if,NOM
NOM,move
<s>,NOM
NOM,don't
