0,1
<s>,this
this,is
is,a
a,book
book,<\s>
<s>,what
what,do
do,you
you,see
see,in
in,the
the,book
book,<\s>
<s>,how
how,many
many,rabbits
rabbits,<\s>
<s>,how
how,many
many,<\s>
<s>,one
one,rabbit
rabbit,<\s>
<s>,what
what,is
is,the
the,rabbit
rabbit,doing
doing,<\s>
<s>,is
is,he
he,hopping
hopping,<\s>
<s>,oh
oh,<\s>
<s>,and
and,what
what,is
is,he
he,playing
playing,with
with,<\s>
<s>,cars
cars,<\s>
<s>,he's
he's,playing
playing,with
with,cars
cars,isn't
isn't,he
he,<\s>
<s>,what
what,color
color,are
are,his
his,pants
pants,<\s>
<s>,what
what,color
color,are
are,the
the,rabbit's
rabbit's,pants
pants,<\s>
<s>,oh
oh,is
is,that
that,peel
peel,from
from,the
the,banana
banana,that
that,you
you,were
were,eating
eating,<\s>
<s>,where
where,is
is,the
the,peel
peel,<\s>
<s>,in
in,nina's
nina's,mouth
mouth,<\s>
<s>,uh
uh,<\s>
<s>,what
what,is
is,this
this,rabbit
rabbit,doing
doing,<\s>
<s>,hopping
hopping,<\s>
<s>,oh
oh,<\s>
<s>,what's
what's,that
that,<\s>
<s>,that's
that's,a
a,stick
stick,<\s>
<s>,the
the,rabbit
rabbit,is
is,holding
holding,a
a,stick
stick,isn't
isn't,he
he,<\s>
<s>,yeah
yeah,<\s>
<s>,oh
oh,look
look,at
at,this
this,<\s>
<s>,that's
that's,a
a,little
little,rabbit
rabbit,isn't
isn't,it
it,<\s>
<s>,that's
that's,a
a,crocodile
crocodile,<\s>
<s>,yeah
yeah,<\s>
<s>,big
big,crocodile
crocodile,<\s>
<s>,it
it,sure
sure,is
is,<\s>
<s>,that's
that's,a
a,rabbit
rabbit,<\s>
<s>,that's
that's,a
a,little
little,rabbit
rabbit,<\s>
<s>,oh
oh,is
is,the
the,rabbit
rabbit,riding
riding,on
on,the
the,bicycle
bicycle,<\s>
<s>,what
what,is
is,the
the,rabbit
rabbit,doing
doing,<\s>
<s>,he's
he's,falling
falling,down
down,<\s>
<s>,you
you,think
think,so
so,<\s>
<s>,is
is,the
the,rabbit
rabbit,going
going,fast
fast,<\s>
<s>,uh
uh,<\s>
<s>,it's
it's,going
going,<\s>
<s>,that's
that's,right
right,<\s>
<s>,what's
what's,this
this,animal
animal,<\s>
<s>,what's
what's,this
this,<\s>
<s>,that's
that's,a
a,big
big,bear
bear,<\s>
<s>,is
is,this
this,a
a,big
big,or
or,a
a,little
little,bear
bear,<\s>
<s>,is
is,it
it,a
a,big
big,bear
bear,<\s>
<s>,a
a,big
big,bear
bear,<\s>
<s>,that's
that's,a
a,rabbit
rabbit,<\s>
<s>,that's
that's,right
right,<\s>
<s>,yeah
yeah,<\s>
<s>,oh
oh,is
is,that
that,a
a,kitty
kitty,cat
cat,<\s>
<s>,a
a,warm
warm,kitty
kitty,cat
cat,<\s>
<s>,what
what,are
are,these
these,<\s>
<s>,oh
oh,<\s>
<s>,what
what,are
are,these
these,<\s>
<s>,and
and,what
what,are
are,these
these,<\s>
<s>,and
and,what's
what's,this
this,<\s>
<s>,no
no,this
this,isn't
isn't,an
an,eye
eye,<\s>
<s>,what
what,is
is,this
this,<\s>
<s>,a
a,nose
nose,<\s>
<s>,yes
yes,<\s>
<s>,where
where,are
are,the
the,fish's
fish's,eyes
eyes,<\s>
<s>,oh
oh,<\s>
<s>,what
what,color
color,are
are,the
the,fish's
fish's,eyes
eyes,<\s>
<s>,black
black,<\s>
<s>,yeah
yeah,<\s>
<s>,where
where,is
is,the
the,rabbit
rabbit,<\s>
<s>,is
is,the
the,rabbit
rabbit,in
in,a
a,boat
boat,<\s>
<s>,uhhuh
uhhuh,<\s>
<s>,the
the,rabbit's
rabbit's,in
in,a
a,boat
boat,<\s>
<s>,where's
where's,the
the,fish
fish,<\s>
<s>,is
is,that
that,a
a,little
little,kitty
kitty,cat
cat,<\s>
<s>,what
what,color
color,is
is,that
that,little
