0,1
<s>,there
there,duck
duck,<\s>
<s>,get
get,down
down,<\s>
<s>,duck
duck,<\s>
<s>,that
that,door
door,<\s>
<s>,duck
duck,<\s>
<s>,door
door,<\s>
<s>,that
that,elephant
elephant,<\s>
<s>,elephant
elephant,<\s>
<s>,that
that,<\s>
<s>,that
that,<\s>
<s>,money
money,<\s>
<s>,money
money,<\s>
<s>,look
look,<\s>
<s>,look
look,<\s>
<s>,look
look,<\s>
<s>,there
there,<\s>
<s>,brumm
brumm,<\s>
<s>,bricks
bricks,<\s>
<s>,those
those,bricks
bricks,<\s>
<s>,bricks
bricks,<\s>
<s>,a
a,<\s>
<s>,bricks
bricks,<\s>
<s>,i
i,got
got,<\s>
<s>,got
got,red
red,<\s>
<s>,oh
oh,<\s>
<s>,bricks
bricks,<\s>
<s>,there
there,<\s>
<s>,hole
hole,<\s>
<s>,where
where,<\s>
<s>,duck
duck,<\s>
<s>,bricks
bricks,<\s>
<s>,bricks
bricks,<\s>
<s>,hole
hole,<\s>
<s>,duck
duck,<\s>
<s>,top
top,<\s>
<s>,that
that,<\s>
<s>,there
there,<\s>
<s>,that
that,<\s>
<s>,there
there,<\s>
<s>,there
there,<\s>
<s>,there
there,<\s>
<s>,go
go,not
not,<\s>
<s>,there
there,<\s>
<s>,go
go,there
there,<\s>
<s>,bricks
bricks,there
there,<\s>
<s>,car
car,<\s>
<s>,push
push,<\s>
<s>,work
work,<\s>
<s>,there
there,<\s>
<s>,work
work,<\s>
<s>,work
work,<\s>
<s>,not
not,work
work,<\s>
<s>,door
door,<\s>
<s>,bricks
bricks,<\s>
<s>,car
car,<\s>
<s>,trucks
trucks,<\s>
<s>,shop
shop,<\s>
<s>,racing
racing,<\s>
<s>,brumm
brumm,<\s>
<s>,this
this,bridge
bridge,<\s>
<s>,truck
truck,<\s>
<s>,oh
oh,<\s>
<s>,there
there,<\s>
<s>,that
that,car
car,<\s>
<s>,car
car,<\s>
<s>,oh
oh,<\s>
<s>,daddy
daddy,<\s>
<s>,oh
oh,<\s>
<s>,a
a,<\s>
<s>,bus
bus,<\s>
<s>,bird
bird,<\s>
<s>,bird
bird,<\s>
<s>,bird
bird,<\s>
<s>,food
food,<\s>
<s>,fly
fly,<\s>
<s>,foot
foot,<\s>
<s>,foot
foot,<\s>
<s>,it
it,big
big,<\s>
<s>,that
that,<\s>
<s>,penny
penny,<\s>
<s>,dumpty
dumpty,<\s>
<s>,oh
oh,off
off,<\s>
<s>,car
car,<\s>
<s>,what
what,<\s>
<s>,tractor
tractor,<\s>
<s>,bin
bin,<\s>
<s>,bin
bin,<\s>
<s>,sand
sand,<\s>
<s>,grass
grass,<\s>
<s>,brumm
brumm,<\s>
<s>,man
man,<\s>
<s>,sleep
sleep,<\s>
<s>,sleep
sleep,tractor
tractor,<\s>
<s>,park
park,<\s>
<s>,brumm
brumm,<\s>
<s>,driver
driver,<\s>
<s>,grass
grass,<\s>
<s>,grass
grass,<\s>
<s>,sss
sss,<\s>
<s>,xxx
xxx,<\s>
<s>,sss
sss,<\s>
<s>,green
green,<\s>
<s>,green
green,<\s>
<s>,get
get,<\s>
<s>,bricks
bricks,<\s>
<s>,green
green,<\s>
<s>,there
there,more
more,<\s>
<s>,green
green,<\s>
<s>,green
green,<\s>
<s>,there
there,<\s>
<s>,there
there,<\s>
<s>,stuck
stuck,<\s>
<s>,stuck
stuck,<\s>
<s>,stuck
stuck,<\s>
<s>,oh
oh,there
there,<\s>
<s>,there
there,<\s>
<s>,there
there,<\s>
<s>,there
there,<\s>
<s>,bricks
bricks,<\s>
<s>,bricks
bricks,<\s>
<s>,go
go,there
there,<\s>
<s>,what
what,<\s>
<s>,look
look,bricks
bricks,<\s>
<s>,bricks
bricks,<\s>
<s>,err
err,<\s>
<s>,look
look,<\s>
<s>,my
my,bricks
bricks,<\s>
<s>,it
it,my
my,<\s>
<s>,the
the,horse
horse,<\s>
<s>,a
a,horse
horse,<\s>
<s>,dong
dong,<\s>
<s>,dong
dong,<\s>
<s>,bricks
bricks,<\s>
<s>,oh
oh,<\s>
<s>,that
that,<\s>
<s>,hi
hi,<\s>
<s>,hi
hi,<\s>
<s>,hi
hi,<\s>
<s>,hi
hi,<\s>
<s>,hi
hi,<\s>
<s>,hi
hi,<\s>
<s>,hi
hi,<\s>
<s>,that
that,<\s>
<s>,that
that,wet
wet,<\s>
<s>,that
that,<\s>
<s>,oh
oh,<\s>
<s>,bird
bird,<\s>
<s>,bird
bird,<\s>
<s>,man
man,<\s>
<s>,man
man,<\s>
<s>,cut
cut,<\s>
<s>,knife
knife,<\s>
<s>,the
the,man
man,<\s>
<s>,cut
cut,<\s>
<s>,knife
knife,<\s>
<s>,stick
stick,<\s>
<s>,stick
stick,<\s>
<s>,oh
oh,<\s>
<s>,cheese
cheese,<\s>
<s>,ham
ham,<\s>
<s>,oh
oh,<\s>
<s>,bang
bang,bang
bang,<\s>
<s>,it
it,bang
bang,bang
bang,<\s>
<s>,it
it,bang
bang,bang
bang,<\s>
<s>,bang
bang,bang
bang,<\s>
<s>,bang
bang,bang
