0,1
<s>,here's
here's,baby
baby,<\s>
<s>,baby
baby,willn't
willn't,fit
fit,<\s>
<s>,is
is,it
it,too
too,big
big,<\s>
<s>,what
what,about
about,this
this,baby
baby,look
look,<\s>
<s>,wanna
wanna,put
put,them
them,on
on,this
this,little
little,table
table,<\s>
<s>,or
or,put
put,them
them,on
on,this
this,table
table,<\s>
<s>,what
what,about
about,that
that,<\s>
<s>,make
make,mummy
mummy,push
push,her
her,<\s>
<s>,push
push,her
her,then
then,<\s>
<s>,push
push,push
push,push
push,<\s>
<s>,what's
what's,she
she,doing
doing,<\s>
<s>,what's
what's,she
she,doing
doing,<\s>
<s>,what's
what's,she
she,doing
doing,<\s>
<s>,pardon
pardon,<\s>
<s>,what's
what's,baby
baby,doing
doing,<\s>
<s>,is
is,that
that,anne
anne,<\s>
<s>,is
is,it
it,<\s>
<s>,who's
who's,that
that,<\s>
<s>,who
who,do
do,you
you,think
think,it
it,is
is,<\s>
<s>,baby's
baby's,mummy
mummy,<\s>
<s>,put
put,them
them,on
on,the
the,table
table,look
look,<\s>
<s>,then
then,they
they,willn't
willn't,get
get,lost
lost,will
will,they
they,<\s>
<s>,what're
what're,you
you,gonna
gonna,going
going,to
to,do
do,<\s>
<s>,hair
hair,<\s>
<s>,have
have,her
her,hair
hair,brushed
brushed,<\s>
<s>,choochoochoo
choochoochoo,<\s>
<s>,who
who,came
came,to
to,see
see,you
you,on
on,the
the,train
train,<\s>
<s>,who
who,came
came,to
to,see
see,you
you,on
on,the
the,train
train,anne
anne,<\s>
<s>,can
can,you
you,remember
remember,<\s>
<s>,is
is,it
it,big
big,<\s>
<s>,did
did,nanny
nanny,and
and,grandad
grandad,come
come,on
on,the
the,train
train,to
to,see
see,you
you,<\s>
<s>,can
can,you
you,remember
remember,<\s>
<s>,well
well,tip
tip,them
them,on
on,here
here,look
look,<\s>
<s>,there
there,is
is,a
a,spider
spider,<\s>
<s>,who's
who's,that
that,<\s>
<s>,stand
stand,up
up,daddy
daddy,<\s>
<s>,it's
it's,daddy
daddy,<\s>
<s>,does
does,daddy
daddy,wanna
wanna,sweep
sweep,the
the,floor
floor,<\s>
<s>,here
here,look
look,<\s>
<s>,hold
hold,<\s>
<s>,whoops
whoops,<\s>
<s>,there
there,he
he,is
is,look
look,<\s>
<s>,he's
he's,holding
holding,the
the,brush
brush,<\s>
<s>,yes
yes,<\s>
<s>,a
a,cake
cake,<\s>
<s>,some
some,cheese
cheese,<\s>
<s>,i
i,like
like,cheese
cheese,<\s>
<s>,what
what,about
about,you
you,<\s>
<s>,teddy
teddy,<\s>
<s>,what
what,is
