0,1
is,it
it,too
put,them
them,on
put,them
them,on
push,her
her,<\s>
push,her
her,then
what's,she
she,doing
what's,she
she,doing
what's,she
she,doing
is,it
it,<\s>
do,you
you,think
think,it
it,is
put,them
them,on
then,they
they,willn't
will,they
they,<\s>
what're,you
you,gonna
have,her
her,hair
see,you
you,on
see,you
you,on
can,you
you,remember
is,it
it,big
see,you
you,<\s>
can,you
you,remember
tip,them
them,on
there,he
he,is
<s>,i
i,like
about,you
you,<\s>
is,it
it,<\s>
here,he
he,comes
is,he
he,gonna
like,it
it,<\s>
is,it
it,a
<s>,it
it,willn't
will,it
it,<\s>
sweep,it
it,<\s>
<s>,i
i,bet
wouldn't,he
he,<\s>
if,we
we,could
isn't,it
it,<\s>
is,it
it,<\s>
isn't,it
it,<\s>
where,you
you,clean
isn't,it
it,<\s>
are,you
you,putting
putting,them
them,away
have,you
you,had
have,you
you,<\s>
do,you
you,want
want,me
me,to
help,you
you,<\s>
is,it
it,<\s>
<s>,i
i,thought
thought,it
it,was
are,you
you,doing
<s>,i
i,like
have,you
you,got
are,you
you,going
give,him
him,one
eat,it
it,<\s>
what's,he
he,eating
is,it
it,going
shall,we
we,put
put,them
them,all
will,it
it,<\s>
do,you
you,do
do,you
you,do
with,it
it,<\s>
for,you
you,teeth
are,you
you,going
are,you
you,putting
putting,them
them,away
is,it
it,<\s>
do,you
you,know
<s>,you
you,put
put,them
them,all
dropped,it
it,<\s>
have,i
i,got
do,you
you,wanna
do,you
you,wanna
<s>,you
you,get
get,them
them,out
are,you
you,doing
are,you
you,making
put,it
it,back
<s>,you
you,know
know,i
i,think
do,you
you,think
think,he
he,does
are,you
you,gonna
is,it
it,stuck
what're,you
you,looking
<s>,i
i,can
there,he
he,is
<s>,i
i,tell
tell,you
you,what
shall,we
we,put
put,them
them,in
<s>,we
we,can
there,we
we,go
latch,it
it,on
there,you
you,go
oh,you
you,don't
want,it
it,latched
is,it
it,<\s>
who've,you
you,got
can,you
you,manage
is,he
he,gonna
is,he
he,<\s>
got,them
them,both
here,they
they,come
here,they
they,come
are,you
you,gonna
are,you
you,gonna
here,they
they,come
here,they
they,come
are,they
they,going
<s>,you
you,want
<s>,you
you,don't
want,them
them,to
chase,you
you,<\s>
oh,you
you,weedy
shall,i
i,<\s>
shall,i
i,get
get,you
you,some
<s>,you
you,don't
<s>,you
you,want
do,you
you,want
with,me
me,to
get,you
you,some
if,you
you,want
<s>,you
you,don't
are,you
you,going
help,me
me,do
get,you
you,some
if,you
you,want
do,you
you,want
<s>,you
you,said
<s>,you
you,<\s>
do,you
you,want
do,you
you,want
do,you
you,want
do,you
you,want
do,you
you,want
<s>,you
you,can
if,you
you,want
would,you
you,like
throwing,it
it,on
is,it
it,<\s>
do,you
you,think
shall,i
i,get
get,them
them,currants
here,you
you,go
give,them
them,to
do,you
you,think
shall,we
we,put
put,her
her,in
willn't,we
we,if
oh_my_goodness,me
me,<\s>
shall,we
we,put
put,them
them,on
<s>,you
you,can
<s>,you
you,can
do,you
you,think
are,you
you,going
give,him
him,some
where's,it
it,gone
is,it
it,there
can,i
i,have
drop,it
it,<\s>
shall,we
we,go
would,you
you,like
with,you
you,to
<s>,i
i,think
do,you
you,think
<s>,he
he,is
isn't,he
he,<\s>
shall,we
we,play
when,we
we,go
<s>,you
you,do
<s>,i
i,know
what,you
you,mean
now,i
i,think
about,it
it,<\s>
aren't,you
you,<\s>
for,me
me,<\s>
do,we
we,play
can,i
i,have
<s>,you
you,can't
willn't,you
you,<\s>
<s>,she
she,says
like,them
them,<\s>
do,you
you,think
think,she
she,might
do,you
you,think
shall,we
we,go
shall,we
we,walk
oh,i
i,don't
<s>,you
you,stood
and,she
she,wasn't
catch,you
you,<\s>
aren't,they
they,<\s>
<s>,you
you,want
<s>,you
you,threw
threw,it
it,on
didn't,you
you,<\s>
are,you
you,going
did,you
you,fall
are,they
they,then
do,you
you,want
are,you
you,<\s>
let,me
me,get
get,you
you,a
are,we
we,<\s>
<s>,she
she,says
let,me
me,out
is,it
it,<\s>
do,you
you,want
want,me
me,to
help,you
you,<\s>
slide,it
it,in
slide,it
it,in
so,we
we,don't
break,them
them,<\s>
are,you
you,going
can,you
you,see
<s>,i
i,don't
think,they
they,fit
oh,i
i,say
do,you
you,know
what,they
they,are
can,you
you,tell
what,they
they,are
it's,i
i,think
do,you
you,think
think,it
it,is
<s>,i
i,think
think,it
it,it's
has,she
she,got
shall,we
we,take
there,we
we,go
undo,her
her,<\s>
do,you
you,want
want,me
me,to
<s>,it
it,is
put,her
her,hand
there,we
we,are
is,it
it,pants
well,you
you,don't
do,you
you,want
do,it
it,<\s>
<s>,i
i,think
think,you
you,undo
undo,it
it,there
shall,we
we,put
put,it
it,on
on,her
her,head
on,her
her,feet
there,you
you,go
<s>,you
you,want
want,her
her,to
goodness,me
me,<\s>
do,you
you,wanna
take,them
them,off
is,it
it,<\s>
do,you
you,wanna
do,it
it,<\s>
<s>,i
i,was
<s>,you
you,want
<s>,you
you,try
that's,it
it,<\s>
<s>,you
you,can
put,her
her,hands
in,i
i,think
<s>,you
you,nearly
is,she
she,gonna
<s>,it
it,does
do,you
you,wanna
<s>,i
i,bet
bet,you
you,could
like,we
we,do
when,we
we,go
do,you
you,think
ask,her
her,<\s>
ask,her
her,if
if,she
she,wants
is,it
it,hot
is,it
it,a
so,she
she,doesn't
<s>,it
it,seems
there,we
we,go
that's,it
it,<\s>
turn,it
it,round
<s>,you
you,do
do,it
it,then
of,me
me,taking
of,her
her,coffee
are,you
you,doing
is,it
it,<\s>
open,it
it,<\s>
do,you
you,want
want,me
me,to
put,it
it,on
on,her
her,head
shall,we
we,call
there,we
we,are
<s>,it
it,is
are,they
they,<\s>
are,they
they,<\s>
is,she
she,<\s>
what's,her
her,name
didn't,we
we,say
are,they
they,<\s>
with,you
you,<\s>
there,we
we,go
keep,her
her,feet
will,they
they,<\s>
are,you
you,gonna
is,she
she,tired
there,you
you,go
that's,it
it,<\s>
cover,her
her,up
what've,you
you,done
to,her
her,<\s>
do,you
you,mean
where's,her
her,bottle
has,it
it,gone
missed,it
it,<\s>
lost,it
it,<\s>
lost,it
it,<\s>
if,we
we,can
find,her
her,one
shall,we
we,<\s>
<s>,i
i,i
i,think
think,it
it,might
<s>,we
we,don't
for,her
her,<\s>
there,you
you,are
drink,it
it,<\s>
what,we
we,say
don't,we
we,<\s>
got,it
it,<\s>
is,it
it,<\s>
that's,it
it,<\s>
shall,we
we,<\s>
wipe,it
it,<\s>
oh,i
i,see
for,me
me,<\s>
are,you
you,wiping
is,she
she,<\s>
what's,her
her,name
what's,her
her,name
have,you
you,forgotten
what's,she
she,got
has,she
she,<\s>
got,it
it,<\s>
got,it
it,<\s>
shall,we
we,do
put,them
them,in
<s>,you
you,stood
on,her
her,face
can,you
you,remember
isn't,it
it,<\s>
<s>,i
i,don't
think,you
you,need
shall,we
we,have
are,you
you,going
tip,it
it,<\s>
isn't,it
it,<\s>
shall,i
i,make
for,you
you,<\s>
shall,we
we,make
or,we
we,could
<s>,we
we,could
make,them
them,a
that's,it
it,<\s>
there,we
we,go
can,he
he,stand
says,he
he,wants
oh,he
he,doesn't
<s>,he
he,wants
isn't,he
he,<\s>
is,it
it,<\s>
did,you
you,wanna
shall,we
we,make
is,it
it,the
aren't,you
you,<\s>
are,you
you,singing
oh,he
he,says
for,me
me,<\s>
are,you
you,putting
putting,them
them,away
have,you
you,xxx
have,you
you,<\s>
<s>,you
you,know
what's,it
it,like
do,you
you,remember
and,he
he,jumps
and,he
he,says
what's,it
it,like
and,he
he,jumps
on,he
he,jumps
so,he
he,jumps
<s>,he
he,says
what's,it
it,like
what's,it
it,like
shall,i
i,take
take,it
it,off
at,it
it,<\s>
if,you
you,have
if,you
you,want
do,you
you,think
did,you
you,fall
do,you
you,wanna
shall,we
we,do
shall,we
we,<\s>
are,you
you,ready
shall,we
we,do
shall,we
we,sing
<s>,i
i,don't
where,it
it,is
is,it
it,in
do,it
it,<\s>
what're,you
you,doing
isn't,it
it,<\s>
are,you
you,going
put,them
them,on
<s>,you
you,sat
are,you
you,going
<s>,i
i,think
think,we
we,might
have,them
them,in
<s>,i
i,think
there,you
you,go
see,it
it,anne
can,you
you,see
lorry,i
i,think
can,you
you,see
that's,it
it,<\s>
see,it
it,in
air,i
i,think
hold,you
you,so
so,you
you,don't
look,it
it,<\s>
got,it
it,all
are,you
you,ready
are,you
you,watching
there,it
it,goes
take,it
it,away
are,you
you,going
see,i
i,don't
<s>,you
you,want
want,it
it,to
can,you
you,see
<s>,you
you,wanna
do,you
you,<\s>
<s>,i
i,said
didn't,i
i,<\s>
can,you
you,see
don't,they
they,<\s>
is,it
it,windy
do,you
you,think
<s>,we
we,sometimes
don't,we
we,<\s>
if,we
we,can
what,we
we,can
can,we
we,find
shall,we
we,sit
aren't,they
they,anne
do,you
you,think
shall,we
we,take
take,her
her,dress
give,her
her,a
do,you
you,want
want,me
me,to
<s>,her
her,shoes
is,she
she,gonna
with,her
her,shoes
take,her
her,dress
<s>,you
you,want
shall,we
we,<\s>
there,we
we,are
oh,she
she,likes
likes,it
it,in
<s>,we
we,need
give,her
her,a
don't,we
we,<\s>
shall,we
we,use
<s>,i
i,know
shall,we
we,use
shall,we
we,do
shall,we
we,wash
wash,her
