0,1
<s>,you
you,v
here,you
you,go
<s>,you
you,have
would,you
you,like
oh,i
i,took
took,it
it,<\s>
<s>,i
i,think
are,you
you,saying
don't,you
you,go
<s>,you
you,go
yes,you
you,get
<s>,you
you,get
are,you
you,finished
yes,he
he,gave
gave,you
you,your
are,you
you,calling
don't,you
you,call
oh,you
you,don't
<s>,i
i,just
thought,she
she,might
from,you
you,<\s>
<s>,you
you,wan
<s>,you
you,read
<s>,you
you,want
did,you
you,eat
eat,it
it,<\s>
yes,you
you,ate
ate,it
it,<\s>
give,you
you,another
<s>,you
you,xxx
no,you
you,don't
no,i
i,don't
are,you
you,going
will,you
you,ask
<s>,i
i,don't
<s>,you
you,want
there,you
you,go
did,you
you,do
with,it
it,<\s>
think,she
she,would
if,we
we,can
dolly,her
her,bottle
are,you
you,doing
<s>,he
he,doesn't
would,he
he,like
<s>,he
he,would
if,he
he,would
have,it
it,on
do,you
you,want
want,me
me,to
with,it
it,<\s>
do,you
you,want
want,me
me,to
with,it
it,<\s>
do,you
you,want
want,me
me,to
turn,it
it,for
for,you
you,<\s>
bring,it
it,here
<s>,he
he,doesn't
find,it
it,<\s>
want,me
me,to
turn,it
it,<\s>
d,you
you,wanna
keep,you
you,busy
there,you
you,write
<s>,you
you,write
with,it
it,<\s>
<s>,he
he,wanted
see,you
you,<\s>
<s>,he
he,did
are,you
you,doing
<s>,you
you,sit
<s>,you
you,read
yes,you
you,read
to,you
you,later
where're,you
you,going
<s>,you
you,want
is,it
it,<\s>
what'll,you
you,do
with,it
it,<\s>
<s>,i
i,don't
have,it
it,<\s>
find,it
it,<\s>
do,you
you,want
want,me
me,to
don't,you
you,put
on,it
it,<\s>
<s>,you
you,going
are,you
you,doing
what,you
you,want
are,you
you,doing
no,you
you,read
did,you
you,do
yes,you
you,hit
do,you
you,want
<s>,you
you,go
<s>,you
you,go
do,we
we,have_to
don't,you
you,go
<s>,you
you,can't
<s>,you
you,can't
<s>,you
you,go
<s>,you
you,read
can,you
you,get
give,me
me,the
<s>,you
you,move
d,you
you,like
like,it
it,<\s>
<s>,you
you,have
what,you
you,want
are,you
you,all
would,you
you,like
<s>,you
you,don't
d,you
you,want
<s>,you
you,don
<s>,you
you,may
does,she
she,like
like,it
it,<\s>
are,you
you,doing
is,it
it,<\s>
do,you
you,want
do,you
you,want
do,you
you,want
find,it
it,<\s>
on,her
her,foot
has,her
her,other
<s>,you
you,put
did,you
you,put
<s>,you
you,are
well,we
we,can't
find,it
it,there
yes,it
it,belongs
<s>,you
you,go
that's,it
it,<\s>
<s>,you
you,bring
bring,it
it,to
if,we
we,can
there,it
it,is
does,it
it,taste
taste,it
it,<\s>
taste,it
it,<\s>
had,it
it,in
taste,it
it,<\s>
would,you
you,please
yes,you
you,have
yes,you
you,called
put,them
them,in
could,you
you,get
<s>,you
you,get
put,them
them,in
<s>,you
you,look
would,you
you,bring
bring,them
them,here
do,you
you,want
let,me
me,see
if,i
i,can
find,you
you,a
are,you
you,writing
oh,you
you,want
did,you
you,do
