0,1
<s>,you
you,wan
did,you
you,see
did,you
you,see
<s>,he
he,wants
pen,you
you,said
said,it
it,was
<s>,i
i,think
are,you
you,gonna
<s>,you
you,get
seat,you
you,get
seat,you
you,get
peter,you
you,wanna
is,it
it,hot
<s>,you
you,want
would,you
you,like
<s>,you
you,xxx
<s>,you
you,want
are,you
you,finished
are,you
you,pushing
<s>,you
you,gonna
<s>,you
you,can
think,you
you,can
<s>,you
you,finished
<s>,you
you,want
don't,you
you,take
<s>,you
you,wanna
let,me
me,wash
<s>,you
you,hit
hit,you
you,<\s>
do,you
you,have
can,i
i,have
<s>,i
i,hafta
could,you
you,just
give,it
it,to
to,me
me,and
put,it
it,away
isn't,it
it,<\s>
<s>,you
you,gonna
book,you
you,gonna
are,you
you,gonna
don't,they
they,<\s>
to,you
you,that's
peek,you
you,like
<s>,you
you,gonna
did,you
you,find
can,you
you,stick
does,it
it,<\s>
<s>,he
he,talks
are,you
you,looking
does,she
she,have
in,her
her,hand
pennies,you
you,don't
is,she
she,gone
are,you
you,playing
should,we
we,wipe
mouth,you
you,gonna
don't,you
you,let
let,me
me,wash
do,you
you,wanna
let,me
me,wash
do,you
you,want
<s>,you
you,finished
<s>,you
you,want
spill,it
it,you
it,you
you,want
do,you
you,want
do,you
you,want
pour,it
it,there
spill,it
it,<\s>
pour,you
you,some
put,it
it,down
oh,you
you,want
oh,i
i,see
do,you
you,want
want,me
me,to
wash,it
it,out
<s>,i
i,don't
think,you
you,wanna
do,you
you,<\s>
<s>,you
you,had
huh,you
you,don't
shall,i
i,wash
<s>,you
you,want
do,you
you,wanna
pour,it
it,out
that's,it
it,that's
that's,it
it,no
<s>,you
you,can
pour,it
it,out
if,you
you,don't
want,it
it,pour
pour,it
it,out
if,you
you,don't
want,it
it,<\s>
pour,it
it,<\s>
<s>,you
you,want
want,me
me,to
pour,it
it,<\s>
<s>,i
i,think
think,she
she,wants
wants,her
her,cup
don't,you
you,<\s>
can,we
we,fix
fix,it
it,<\s>
can,we
we,fix
fix,it
it,<\s>
is,it
it,<\s>
how,it
it,works
behind,you
you,peter
when,they
they,come
isn't,it
it,<\s>
<s>,you
you,know
leave,them
them,there
leave,them
them,in
don't,you
you,help
help,her
her,put
do,you
you,have
right,you
you,better
zip,him
him,up
up,he
he,needs
<s>,you
you,know
what,they
they,are
don't,you
you,<\s>
yes,they
they,are
and,he
he,says
<s>,you
you,gonna
do,you
you,know
in,it
it,pete
in,it
it,<\s>
let,me
me,put
put,it
it,on
leave,it
it,over
there,we
we,don't
mess,it
it,all
can,you
you,put
see,it
it,<\s>
want,you
you,to
close,it
it,<\s>
do,you
you,wanna
<s>,you
you,wan
through,it
it,<\s>
<s>,you
you,looking
did,you
you,go
did,you
you,go
do,you
you,see
do,you
you,say
want,me
me,to
put,it
it,on
don't,you
you,get
can,you
you,put
put,it
it,together
<s>,you
you,gonna
keep,it
it,on
no,it
it,doesn't
if,you
you,don't
juggle,it
it,around
<s>,you
you,ready
<s>,you
you,know
<s>,you
you,like
don't,you
you,peter
<s>,i
i,just
but,you
you,didn't
did,you
you,<\s>
now,you
you,know
want,me
me,to
do,you
you,know
oh,you
you,don't
know,you
you,last
do,you
you,<\s>
do,you
you,call
call,him
him,<\s>
do,you
you,call
call,him
him,sometimes
do,you
you,call
don't,you
you,help
help,her
her,<\s>
oh,you
you,want
want,it
it,on
did,it
it,fall
did,it
it,fall
isn't,it
it,<\s>
can,you
you,say
help,them
them,put
no,i
i,think
take,it
it,back
<s>,you
you,know
can,you
you,say
see,you
you,<\s>
<s>,they
they,probably
xxx,we
we,drove
<s>,you
you,don't
that,he
he,really
take,them
them,out_of
take,it
it,out_of
take,them
them,out
put,them
them,in
do,it
it,<\s>
take,them
them,out_of
mouth,i
i,give
give,you
you,<\s>
if,you
you,wanna
give,you
you,a
get,you
you,a
<s>,i
i,mean
peter,you
you,let
put,it
it,on
will,you
you,please
put,it
it,in
put,it
it,in
put,it
it,in
and,you
you,can
see,it
it,when
when,they
they,come
bring,it
it,okay
do,you
you,hear
<s>,you
you,know
<s>,you
you,going
see,her
her,<\s>
<s>,i
i,think
what,you
you,said
cha,you
you,doin
are,you
you,don't
like,it
it,<\s>
right,you
you,are
no,he
he,busy
busy,he
he,has
than,you
you,think
<s>,i
i,don't
want,you
you,to
spoil,you
you,dinner
show,them
them,your
<s>,he
he,getting
<s>,you
you,wan
<s>,you
you,wan
<s>,it
it,didn't
did,you
you,think
think,you
you,heard
<s>,it
it,didn't
there,it
it,didn't
peter,you
you,hafta
tell,her
her,what
what,you
you,want
get,you
you,chair
where's,you
you,chair
who'd,you
you,give
lunch,i
i,mean
did,you
you,show
would,you
you,like
peter,you
you,know
know,you
you,don't
peter,you
you,don't
yeah,i
i,see
did,we
we,<\s>
can,you
you,say
do,you
you,need
well,they
they,brought
oh,it
it,must
yes,you
you,still
open,it
it,<\s>
well,i
i,don't
of,them
them,and
and,they
they,really
<s>,it
it,doesn't
<s>,you
you,put
put,it
it,in
maybe,you
you,can
no,it
it,belongs
can,you
you,go
leave,it
it,on
<s>,you
you,wanna
use,you
you,want
<s>,you
you,want
want,me
me,to
help,you
you,<\s>
oh,i
i,see
do,it
it,by
did,you
you,come
did,you
you,forget
what,you
you,came
all,you
you,need
on,her
her,<\s>
was,it
it,<\s>
can,you
you,see
what'd,you
you,say
<s>,you
you,know
and,you
you,have
how's,it
it,taste
how's,it
it,go
<s>,we
we,were
but,i
i,don't
do,you
you,want
want,me
me,to
on,it
it,doesn't
doesn't,it
it,<\s>
<s>,you
you,gonna
is,it
it,<\s>
<s>,i
i,thought
thought,he
he,said
got,me
