0,1
say,it
it,again
do,you
you,want
<s>,you
you,don't
<s>,you
you,don't
<s>,you
you,want
to,me
me,<\s>
take,him
him,<\s>
take,him
him,<\s>
are,you
you,done
are,you
you,going
give,them
them,to
to,me
me,<\s>
okay,you
you,can
give,them
them,to
to,me
me,<\s>
show,them
them,to
to,you
you,another
got,her
her,feet
got,her
her,feet
do,you
you,want
are,you
you,finished
with,it
it,<\s>
no,i
i,don't
think,you
you,want
<s>,i
i,don't
<s>,i
i,think
think,you
you,had
isn't,it
it,<\s>
<s>,it
it,fell
didn't,it
it,<\s>
<s>,it
it,fell
don't,you
you,put
hair,you
you,<\s>
don't,you
you,put
<s>,you
you,finish
finish,it
it,up
do,you
you,remember
try,it
it,honey
do,they
they,smell
do,they
they,smell
do,you
you,want
is,it
it,<\s>
are,you
you,dancing
give,me
me,a
for,you
you,<\s>
do,you
you,want
<s>,we
we,saw
want,me
me,to
let,me
me,get
get,you
you,xxx
show,me
me,a
show,me
me,a
what,me
me,to
<s>,i
i,put
build,it
it,on
do,it
it,on
are,they
they,eating
<s>,you
you,can
look,he
he,is
<s>,he
he,is
good,i
i,can
plug,it
it,right
<s>,i
i,can
now,i
i,think
good,she
she,got
are,you
you,doing
are,you
you,doing
but,i
i,decided
maybe,she
she,would
use,them
them,very
did,you
you,leave
if,you
you,want
call,it
it,that
with,me
me,<\s>
will,you
you,come
and,we
we,will
is,it
it,goldie
can,you
you,say
call,it
it,xxx
is,it
it,<\s>
are,they
they,<\s>
<s>,they
they,are
say,it
it,again
is,it
it,<\s>
do,you
you,say
say,it
it,again
on,it
it,<\s>
say,it
it,again
tell,me
me,again
don't,you
you,draw
with,me
me,<\s>
<s>,i
i,want
hold,you
you,for
now,i
i,want
want,you
you,to
did,you
you,lose
let,me
me,see
<s>,you
you,have
are,you
you,riding
nomi,i
i,want
want,you
you,to
<s>,i
i,want
want,you
you,to
no,you
you,lie
<s>,you
you,lie
too,you
you,lie
<s>,i
i,think
<s>,you
you,lie
put,it
it,like
so,she
she,won't
there,she
she,goes
does,she
she,<\s>
leave,it
it,over
using,it
it,<\s>
do,you
you,have
<s>,it
it,is
do,you
you,want
that,you
you,turn
turn,it
it,and
and,it
it,lets
lets,it
it,go
at,it
it,spin
do,you
you,want
do,you
you,want
tissue,you
you,want
am,i
i,right
for,you
you,<\s>
here,you
you,go
for,you
you,<\s>
do,you
you,want
would,you
you,like
would,you
you,like
oh,you
you,want
would,you
you,like
don't,you
you,read
what's,she
she,doing
<s>,i
i,just
want,you
you,to
don't,we
we,play
give,it
it,some
do,you
you,see
<s>,you
you,gonna
coffee,she
she,says
are,we
we,ready
do,you
you,want
can,i
i,have
can,i
i,have
<s>,you
you,can
oh,you
you,got
do,you
you,want
do,you
you,want
what's,he
he,doing
are,they
they,doing
can,you
you,smell
put,it
it,over
let,it
it,rest
maybe,it
it,won't
has,her
her,glasses
<s>,she
she,looks
<s>,she
she,looks
<s>,she
she,looks
are,they
they,doing
nomi,you
you,can't
do,you
you,want
when,you
you,put
get,it
it,all
let,me
me,get
get,you
you,a
<s>,i
i,don't
want,you
you,to
<s>,i
i,don't
want,you
you,to
<s>,i
i,have_to
get,you
you,a
