0,1
<s>,more
more,cookie
cookie,<\s>
<s>,more
more,cookie
cookie,<\s>
<s>,more
more,juice
juice,<\s>
<s>,fraser
fraser,<\s>
<s>,fraser
fraser,<\s>
<s>,fraser
fraser,<\s>
<s>,fraser
fraser,<\s>
<s>,yeah
yeah,<\s>
<s>,xxx
xxx,<\s>
<s>,a
a,fly
fly,<\s>
<s>,fly
fly,<\s>
<s>,mommy
mommy,telephone
telephone,<\s>
<s>,my
my,telephone
telephone,<\s>
<s>,xxx
xxx,<\s>
<s>,mommy
mommy,<\s>
<s>,no
no,<\s>
<s>,man
man,man
man,<\s>
<s>,xxx
xxx,<\s>
<s>,more
more,cookie
cookie,<\s>
<s>,block
block,broke
broke,<\s>
<s>,there
there,<\s>
<s>,i
i,did
did,it
it,<\s>
<s>,there
there,<\s>
<s>,there
there,fraser
fraser,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,baby
baby,<\s>
<s>,mommy
mommy,read
read,<\s>
<s>,a
a,stool
stool,<\s>
<s>,fraser
fraser,<\s>
<s>,fraser
fraser,<\s>
<s>,more
more,cookie
cookie,<\s>
<s>,more
more,cookie
cookie,<\s>
<s>,little
little,little
little,little
little,little
little,<\s>
<s>,milk
milk,<\s>
<s>,milk
milk,milk
milk,milk
milk,<\s>
<s>,that
that,<\s>
<s>,fraser
fraser,water
water,<\s>
<s>,oh
oh,fraser
fraser,<\s>
<s>,bye
bye,<\s>
<s>,xxx
xxx,water
water,<\s>
<s>,fraser
fraser,water
water,<\s>
<s>,fraser
fraser,water
water,<\s>
<s>,that
that,<\s>
<s>,coffee
coffee,<\s>
<s>,xxx
xxx,fraser
fraser,coffee
coffee,<\s>
<s>,down
down,down
down,<\s>
<s>,cookie
cookie,<\s>
<s>,mommy
mommy,<\s>
<s>,mommy
mommy,<\s>
<s>,a
a,fly
fly,<\s>
<s>,read
read,the
the,puzzle
puzzle,<\s>
<s>,read
read,the
the,puzzle
puzzle,<\s>
<s>,read
read,the
the,puzzle
puzzle,<\s>
<s>,read
read,the
the,puzzle
puzzle,<\s>
<s>,read
read,the
the,puzzle
puzzle,read
read,the
the,puzzle
puzzle,read
read,the
the,puzzle
puzzle,<\s>
<s>,racketyboom
racketyboom,<\s>
<s>,hat
hat,<\s>
<s>,xxx
xxx,<\s>
<s>,m
m,<\s>
<s>,water
water,xxx
xxx,<\s>
<s>,bottle
bottle,<\s>
<s>,water
water,<\s>
<s>,there
there,<\s>
<s>,fraser
fraser,hat
hat,<\s>
<s>,oh
oh,fraser
fraser,hat
hat,<\s>
<s>,oh
oh,fraser
fraser,hat
hat,oh
oh,fraser
fraser,hat
hat,<\s>
<s>,fraser
fraser,hat
hat,<\s>
<s>,no
no,<\s>
<s>,eye
eye,<\s>
<s>,that
that,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,that
that,<\s>
<s>,soldier
soldier,<\s>
<s>,soldier
soldier,<\s>
<s>,that
that,that
that,<\s>
<s>,fraser
fraser,hat
hat,<\s>
<s>,eve
eve,find
find,it
it,<\s>
<s>,that
that,that
that,<\s>
<s>,xxx
xxx,man
man,<\s>
<s>,eve
eve,<\s>
<s>,down
down,<\s>
<s>,that
that,<\s>
<s>,busy
busy,<\s>
<s>,busy
busy,<\s>
<s>,man
man,a
a,pencil
pencil,<\s>
<s>,man
man,a
a,pencil
pencil,<\s>
<s>,xxx
xxx,man
man,<\s>
<s>,pencil
pencil,<\s>
<s>,eve
eve,pencil
pencil,<\s>
<s>,eve
eve,pencil
pencil,<\s>
<s>,eve
eve,pencil
pencil,<\s>
<s>,man
man,a
a,pencil
pencil,<\s>
<s>,pencil
pencil,<\s>
<s>,man
man,<\s>
<s>,xxx
xxx,see
see,ya
ya,<\s>
<s>,xxx
xxx,read
read,<\s>
<s>,read
read,<\s>
<s>,clip_clop
clip_clop,<\s>
<s>,shoe
shoe,shoe
shoe,<\s>
<s>,shoe
shoe,<\s>
<s>,shoe
shoe,shoe
shoe,shoe
shoe,shoe
shoe,<\s>
<s>,my
my,my
my,my
my,my
my,<\s>
<s>,mommy
mommy,book
book,<\s>
<s>,racketyboom
racketyboom,<\s>
<s>,racketyboom
racketyboom,racketyboom
racketyboom,racketyboom
racketyboom,<\s>
<s>,read
read,<\s>
<s>,racketyboom
racketyboom,racketyboom
racketyboom,racketyboom
racketyboom,racketyboom
racketyboom,racketyboom
racketyboom,racketyboom
racketyboom,racketyboom
racketyboom,<\s>
<s>,read
read,<\s>
<s>,read
read,choo
choo,<\s>
<s>,mommy
mommy,<\s>
<s>,mommy
mommy,mommy
mommy,mommy
mommy,<\s>
<s>,choo
choo,choo
choo,<\s>
<s>,choo
choo,<\s>
<s>,choo
choo,<\s>
<s>,mi
mi,<\s>
<s>,xxx
xxx,milk
milk,<\s>
<s>,cup
cup,<\s>
<s>,that
that,<\s>
<s>,xxx
xxx,top
top,<\s>
<s>,that
that,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,there
there,<\s>
<s>,quack
quack,quack
quack,<\s>
<s>,quack
quack,quack
quack,<\s>
<s>,that
that,<\s>
<s>,that
that,radio
radio,<\s>
<s>,xxx
xxx,<\s>
<s>,hat
hat,<\s>
<s>,that
that,<\s>
<s>,xxx
xxx,<\s>
<s>,like
like,the
the,farm
farm,<\s>
<s>,cock_a_doodle_doo
cock_a_doodle_doo,<\s>
<s>,book
book,<\s>
<s>,racketyboom
racketyboom,racketyboom
racketyboom,racketyboom
racketyboom,<\s>
<s>,yeah
yeah,<\s>
<s>,why
why,<\s>
<s>,xxx
xxx,choo
choo,<\s>
<s>,stool
stool,stool
stool,<\s>
<s>,man
man,stool
stool,<\s>
<s>,that
that,<\s>
<s>,xxx
xxx,<\s>
<s>,xxx
xxx,<\s>
<s>,neil
neil,sit
sit,<\s>
<s>,neil
neil,sit
sit,<\s>
<s>,neil
neil,sit
sit,<\s>
<s>,neil
neil,sit
sit,<\s>
<s>,neil
neil,sit
sit,<\s>
<s>,neil
neil,sit
sit,<\s>
<s>,m
m,<\s>
<s>,cup
cup,<\s>
<s>,neil
neil,sit
sit,<\s>
<s>,sit
sit,<\s>
<s>,neil
neil,sit
sit,neil
neil,sit
sit,neil
neil,sit
sit,neil
neil,sit
sit,neil
neil,sit
sit,neil
neil,sit
sit,neil
neil,sit
sit,neil
neil,sit
sit,neil
neil,sit
sit,<\s>
<s>,mommy
mommy,<\s>
<s>,get
get,it
it,<\s>
<s>,that
that,<\s>
<s>,a
a,stool
stool,<\s>
<s>,sit
sit,<\s>
<s>,neil
neil,sit
sit,neil
neil,sit
sit,neil
neil,sit
sit,<\s>
<s>,neil
neil,sit
sit,neil
neil,sit
sit,<\s>
<s>,good
good,girl
girl,<\s>
<s>,xxx
xxx,<\s>
<s>,neil
neil,sit
sit,neil
neil,sit
sit,that
that,<\s>
<s>,eve
eve,seat
seat,<\s>
<s>,eve
eve,seat
seat,eve
eve,seat
seat,<\s>
<s>,sambo
sambo,<\s>
<s>,xxx
xxx,sambo
sambo,sambo
sambo,<\s>
<s>,read
read,<\s>
<s>,why
why,<\s>
